dist_id,year,unemployment
FL_4,2006,5
FL_5,2006,6.5
FL_6,2006,6.4
FL_7,2006,4.1
FL_8,2006,5.4
FL_9,2006,5.1
FL_10,2006,4.5
FL_11,2006,6.8
FL_12,2006,5.6
FL_13,2006,4.2
FL_14,2006,3.8
FL_15,2006,5.4
FL_16,2006,5
FL_17,2006,8.8
FL_18,2006,4
FL_19,2006,5.3
FL_20,2006,4.3
FL_21,2006,5
FL_22,2006,4.1
FL_23,2006,8
FL_24,2006,4.5
FL_25,2006,5.3
GA_1,2006,5.8
GA_2,2006,8.9
GA_3,2006,8.2
GA_4,2006,9
GA_5,2006,8.6
GA_6,2006,4.3
GA_7,2006,5.3
GA_8,2006,6.2
GA_9,2006,6
GA_10,2006,5.1
GA_11,2006,6.9
GA_12,2006,7.2
GA_13,2006,9.8
HI_1,2006,4.4
HI_2,2006,4.3
ID_1,2006,5.9
ID_2,2006,4.6
IL_1,2006,13
IL_2,2006,14.7
IL_3,2006,7
IL_4,2006,8.4
IL_5,2006,6.4
IL_6,2006,5.4
IL_7,2006,11.5
IL_8,2006,6.2
IL_9,2006,6.6
IL_10,2006,4.8
IL_11,2006,6.3
IL_12,2006,8.7
IL_13,2006,5.2
IL_14,2006,5.9
IL_15,2006,5.8
IL_16,2006,6.3
IL_17,2006,7.8
IL_18,2006,5.6
IL_19,2006,5.8
IN_1,2006,8.5
IN_2,2006,6.9
IN_3,2006,5.8
IN_4,2006,6.4
IN_5,2006,5
IN_6,2006,7.3
IN_7,2006,10
IN_8,2006,6.6
IN_9,2006,6
IA_1,2006,5.3
IA_2,2006,5.4
IA_3,2006,4.7
IA_4,2006,4.2
IA_5,2006,4.9
KS_1,2006,4
KS_2,2006,5.4
KS_3,2006,5.4
KS_4,2006,6.3
KY_1,2006,7.3
KY_2,2006,6.4
KY_3,2006,7.3
KY_4,2006,6.7
KY_5,2006,8.3
KY_6,2006,5.9
LA_1,2006,6.1
LA_2,2006,11.6
LA_3,2006,6
LA_4,2006,8.2
LA_5,2006,9.5
LA_6,2006,7.9
LA_7,2006,7.1
ME_1,2006,4.7
ME_2,2006,6
MD_1,2006,4.8
MD_2,2006,6.3
MD_3,2006,4.4
MD_4,2006,6.5
MD_5,2006,5.1
MD_6,2006,3.8
MD_7,2006,7.9
MD_8,2006,4.1
MA_1,2006,6.6
MA_2,2006,6.7
MA_3,2006,5.6
MA_4,2006,5.1
MA_5,2006,6
MA_6,2006,4.2
MA_7,2006,5.7
MA_8,2006,6.6
MA_9,2006,6.1
MA_10,2006,5.1
MI_1,2006,9.2
MI_2,2006,8.9
MI_3,2006,8.1
MI_4,2006,10.2
MI_5,2006,10.9
MI_6,2006,8.9
MI_7,2006,7.9
MI_8,2006,6.5
MI_9,2006,7
MI_10,2006,8.8
MI_11,2006,7
MI_12,2006,10.4
MI_13,2006,18.8
