bach_deg_num,black_pop,high_school_num,median_HH_income,median_age,mortgage_cost,total_pop,unemp_rate,white_pop,year,district_num,state_name
88057.0,97683.0,128589.0,30817.0,36.8,1247,636680.0,6.2,403620.0,2005,6,New Jersey
127686.0,30684.0,105355.0,40370.0,39.4,1580,660932.0,4.0,528947.0,2005,7,New Jersey
82027.0,85492.0,123011.0,27750.0,37.2,1206,641671.0,7.1,369444.0,2005,8,New Jersey
102011.0,49090.0,138117.0,31089.0,39.3,1169,653934.0,7.2,439670.0,2005,9,New Jersey
59622.0,371052.0,137376.0,23053.0,33.8,976,641021.0,11.0,169315.0,2005,10,New Jersey
131781.0,15533.0,95410.0,41213.0,39.6,1681,662801.0,5.0,563728.0,2005,11,New Jersey
121749.0,70676.0,99225.0,39075.0,38.3,1574,668015.0,5.5,484540.0,2005,12,New Jersey
75298.0,84381.0,112663.0,24507.0,34.1,985,626983.0,6.8,331215.0,2005,13,New Jersey
70630.0,16205.0,106168.0,23246.0,36.3,774,640640.0,7.2,460396.0,2005,1,New Mexico
42622.0,9566.0,120489.0,16388.0,36.1,489,610044.0,8.4,442242.0,2005,2,New Mexico
58752.0,9833.0,118892.0,21109.0,36.1,630,636516.0,6.3,409191.0,2005,3,New Mexico
78191.0,30702.0,135590.0,35704.0,38.6,1625,671433.0,4.5,589680.0,2005,1,New York
84819.0,66745.0,134446.0,34454.0,37.7,1770,663555.0,4.5,525544.0,2005,2,New York
88438.0,11495.0,137417.0,36605.0,41.2,1752,632873.0,4.5,567388.0,2005,3,New York
89695.0,128795.0,122814.0,33253.0,39.0,1585,653818.0,3.9,417656.0,2005,4,New York
100204.0,26297.0,109847.0,27447.0,40.5,1177,639410.0,6.3,362577.0,2005,5,New York
61613.0,356594.0,132897.0,26264.0,35.8,1168,649516.0,8.8,115446.0,2005,6,New York
63071.0,110478.0,147675.0,24375.0,35.9,933,656162.0,8.5,267263.0,2005,7,New York
148954.0,38767.0,86067.0,36330.0,37.4,1196,683778.0,5.9,513116.0,2005,8,New York
99408.0,29254.0,135684.0,29045.0,40.4,1040,634440.0,7.2,433223.0,2005,9,New York
53141.0,420130.0,127900.0,22200.0,33.2,884,660270.0,10.5,132015.0,2005,10,New York
80181.0,377946.0,124396.0,25604.0,33.3,948,648527.0,9.3,183022.0,2005,11,New York
