,Location,Incumbent,Inc_party,Inc_first_elected,Candidate,Cand_party,state_name,district_num,state_abb,dist_id,Cand_party_abb,is_incumbent,years_in_congress,District,Representative,Assumed office,Born,Female,Black,Hispanic,Asian,Age
11,Alabama 6,Gary Palmer,Republican,2014.0,Gary Palmer,Republican,Alabama,6,AL,AL_6,R,1,4,Alabama 6,Gary Palmer,2015.0,1954.0,0.0,0.0,0.0,0.0,64.0
12,Alabama 7,Terri Sewell,Democratic,2010.0,Terri Sewell,Democratic,Alabama,7,AL,AL_7,D,1,8,Alabama 7,Terri Sewell,2011.0,1965.0,1.0,1.0,0.0,0.0,53.0
13,Alaska 1,Don Young,Republican,1972.0,Don Young,Republican,Alaska,1,AK,AK_1,R,1,46,Alaska at large,Don Young,1973.0,1933.0,0.0,0.0,0.0,0.0,85.0
14,Arizona 1,Tom O'Halleran,Democratic,2016.0,Tom O'Halleran,Democratic,Arizona,1,AZ,AZ_1,D,1,2,Arizona 1,Tom O'Halleran,2017.0,1946.0,0.0,0.0,0.0,0.0,72.0
15,Arizona 1,Tom O'Halleran,Democratic,2016.0,Wendy Rogers,Republican,Arizona,1,AZ,AZ_1,R,0,0,,,,,,,,,
16,Arizona 2,Martha McSally,Republican,2014.0,Ann Kirkpatrick,Democratic,Arizona,2,AZ,AZ_2,D,0,0,,,,,,,,,
17,Arizona 2,Martha McSally,Republican,2014.0,Lea Marquez-Peterson,Republican,Arizona,2,AZ,AZ_2,R,0,0,,,,,,,,,
18,Arizona 3,Raúl Grijalva,Democratic,2002.0,Raúl Grijalva,Democratic,Arizona,3,AZ,AZ_3,D,1,16,Arizona 3,Raúl Grijalva,2003.0,1948.0,0.0,0.0,1.0,0.0,70.0
19,Arizona 3,Raúl Grijalva,Democratic,2002.0,Nick Pierson,Republican,Arizona,3,AZ,AZ_3,R,0,0,,,,,,,,,
20,Arizona 4,Paul Gosar,Republican,2010.0,David Brill,Democratic,Arizona,4,AZ,AZ_4,D,0,0,,,,,,,,,
21,Arizona 4,Paul Gosar,Republican,2010.0,Paul Gosar,Republican,Arizona,4,AZ,AZ_4,R,1,8,Arizona 4,Paul Gosar,2011.0,1958.0,0.0,0.0,0.0,0.0,60.0
22,Arizona 5,Andy Biggs,Republican,2016.0,Andy Biggs,Republican,Arizona,5,AZ,AZ_5,R,1,2,Arizona 5,Andy Biggs,2017.0,1958.0,0.0,0.0,0.0,0.0,60.0
23,Arizona 5,Andy Biggs,Republican,2016.0,Joan Greene,Democratic,Arizona,5,AZ,AZ_5,D,0,0,,,,,,,,,
24,Arizona 6,David Schweikert,Republican,2010.0,Anita Malik,Democratic,Arizona,6,AZ,AZ_6,D,0,0,,,,,,,,,
25,Arizona 6,David Schweikert,Republican,2010.0,David Schweikert,Republican,Arizona,6,AZ,AZ_6,R,1,8,Arizona 6,David Schweikert,2011.0,1962.0,0.0,0.0,0.0,0.0,56.0
26,Arizona 7,Ruben Gallego,Democratic,2014.0,Ruben Gallego,Democratic,Arizona,7,AZ,AZ_7,D,1,4,Arizona 7,Ruben Gallego,2015.0,1979.0,0.0,0.0,0.0,0.0,39.0
27,Arizona 8,Debbie Lesko,Republican,2018.0,Debbie Lesko,Republican,Arizona,8,AZ,AZ_8,R,1,0,Arizona 8,Debbie Lesko,2018.0,1958.0,1.0,0.0,0.0,0.0,60.0
28,Arizona 8,Debbie Lesko,Republican,2018.0,Hiral Tipirneni,Democratic,Arizona,8,AZ,AZ_8,D,0,0,,,,,,,,,
29,Arizona 9,Kyrsten Sinema,Democratic,2012.0,Steve Ferrara,Republican,Arizona,9,AZ,AZ_9,R,0,0,,,,,,,,,
30,Arizona 9,Kyrsten Sinema,Democratic,2012.0,Greg Stanton,Democratic,Arizona,9,AZ,AZ_9,D,0,0,,,,,,,,,
31,Arkansas 1,Rick Crawford,Republican,2010.0,Rick Crawford,Republican,Arkansas,1,AR,AR_1,R,1,8,Arkansas 1,Rick Crawford,2011.0,1966.0,0.0,0.0,0.0,0.0,52.0
32,Arkansas 1,Rick Crawford,Republican,2010.0,Chintan Desai,Democratic,Arkansas,1,AR,AR_1,D,0,0,,,,,,,,,
33,Arkansas 2,French Hill,Republican,2014.0,French Hill,Republican,Arkansas,2,AR,AR_2,R,1,4,Arkansas 2,French Hill,2015.0,1956.0,0.0,0.0,0.0,0.0,62.0
34,Arkansas 2,French Hill,Republican,2014.0,Clarke Tucker,Democratic,Arkansas,2,AR,AR_2,D,0,0,,,,,,,,,
35,Arkansas 3,Steve Womack,Republican,2010.0,Josh Mahony,Democratic,Arkansas,3,AR,AR_3,D,0,0,,,,,,,,,
36,Arkansas 3,Steve Womack,Republican,2010.0,Steve Womack,Republican,Arkansas,3,AR,AR_3,R,1,8,Arkansas 3,Steve Womack,2011.0,1957.0,0.0,0.0,0.0,0.0,61.0
