year,dist_id,dem_vote_share,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted
2010,FL_2,0.43550844019835916,111.0,29713.0,-0.18100000000000002,0.414,-0.19699999999999998,0.322,65.0,1,0.6190720942982456,1,0.590804598,0.581632653,21934.0,37.1,874.0,11.9,0.10296481333781382,0.21730628307226404,0.19102796120330745,0.7203407328833954,0.0
2012,FL_2,0.47267984047497674,112.0,21114.0,0.56,0.063,0.588,-0.069,47.0,0,0.43550844019835916,1,0.443678161,0.5204081629999999,22224.0,36.6,843.0,11.0,0.105776269193702,0.24846181891150196,0.1847498918963222,0.6903189977022669,1.0
2014,FL_2,0.5056825928985635,113.0,21114.0,0.56,0.063,0.493,0.168,49.0,0,0.47267984047497674,1,0.462068966,0.540816327,24186.0,36.8,844.0,10.1,0.10918379971207486,0.25018417086557493,0.19280440210545258,0.693340044088537,0.0
2016,FL_2,0.3078206034183325,114.0,21511.0,-0.233,0.255,-0.23600000000000002,0.271,53.0,1,0.5056825928985635,1,0.43218390799999995,0.44897959200000004,24608.0,43.2,771.0,6.6,0.0973670841095031,0.12736494646163754,0.24063529784097565,0.8169840287166618,0.0
2018,FL_2,0.32545565417711225,115.0,21714.0,0.508,0.26899999999999996,0.507,0.26899999999999996,65.0,0,0.3078206034183325,0,0.554022989,0.469387755,25896.0,41.9,784.0,6.4,0.10439505633023385,0.1359495521592687,0.23001865149041123,0.8083460295554387,0.0
2006,FL_20,1.0,109.0,20504.0,-0.423,0.066,-0.405,-0.185,40.0,1,0.7018699891339462,0,0.464367816,0.484848485,29278.0,41.0,1282.0,4.3,0.1508083611160244,0.10639569191163246,0.18821429261527897,0.7954386345631045,0.0
2008,FL_20,1.0,110.0,20504.0,-0.423,0.066,-0.451,0.012,42.0,1,1.0,0,0.535632184,0.5,31042.0,41.7,1378.0,5.9,0.15987703596014372,0.10483308731606307,0.18023329275163255,0.8023046838417938,0.0
2010,FL_20,0.612195684921522,111.0,20504.0,-0.423,0.066,-0.425,0.063,44.0,1,1.0,1,0.590804598,0.581632653,27999.0,40.7,1349.0,11.7,0.1514016726012952,0.13557388685550373,0.18221597763633338,0.7597380973941187,0.0
2012,FL_20,1.0,112.0,20504.0,-0.423,0.066,-0.42200000000000004,0.096,46.0,1,0.612195684921522,1,0.443678161,0.5204081629999999,20427.0,36.4,978.0,15.4,0.07638582782798678,0.5340957314285245,0.22710273209382043,0.38987983605794374,1.0
2014,FL_20,0.8160364777158243,113.0,29337.0,-0.564,0.156,-0.522,-0.059000000000000004,78.0,1,1.0,1,0.462068966,0.540816327,20527.0,36.6,993.0,11.4,0.08590422393167896,0.5191777441608463,0.2324221893205446,0.4125468044245604,0.0
2016,FL_20,0.8031200461161551,114.0,29337.0,-0.564,0.156,-0.47,0.027000000000000003,80.0,1,0.8160364777158243,1,0.43218390799999995,0.44897959200000004,22544.0,36.4,1120.0,7.1,0.0875675321945934,0.529877765626632,0.21218165641230222,0.39524502876213946,0.0
2018,FL_20,1.0,115.0,29337.0,-0.564,0.156,-0.546,0.285,82.0,1,0.8031200461161551,0,0.554022989,0.469387755,23917.0,36.6,1117.0,6.8,0.08969684006535307,0.537324183215392,0.21837874891121156,0.38597357014374584,0.0
2006,FL_21,0.4053389845600413,109.0,29336.0,0.243,-0.105,0.331,-0.213,52.0,0,0.0,0,0.464367816,0.484848485,20577.0,38.7,1168.0,5.0,0.12128192183095629,0.08157684378812739,0.1801461086769682,0.8224923820342223,0.0
2008,FL_21,0.4209922279136885,110.0,29336.0,0.243,-0.105,0.28,-0.04,54.0,0,0.4053389845600413,0,0.535632184,0.5,21492.0,40.9,1298.0,6.4,0.12883594728367823,0.07715576361142584,0.18160743037748225,0.850390601705528,0.0
2010,FL_21,0.0,111.0,29336.0,0.243,-0.105,0.221,0.141,56.0,0,0.4209922279136885,1,0.590804598,0.581632653,20496.0,39.3,1197.0,12.3,0.11583544276566299,0.08203480742615792,0.19850989222175214,0.8339325794353654,0.0
2012,FL_21,1.0,112.0,20316.0,0.276,0.10300000000000001,0.22399999999999998,0.257,51.0,0,0.0,1,0.443678161,0.5204081629999999,26942.0,44.0,1182.0,10.8,0.16104433783008196,0.12191510227734965,0.18214060837052762,0.7948281818536411,1.0
2014,FL_21,1.0,113.0,20959.0,-0.401,-0.10099999999999999,-0.415,-0.091,48.0,1,1.0,1,0.462068966,0.540816327,27486.0,44.4,1175.0,7.0,0.15656205228744088,0.1279340320791098,0.19429109260715477,0.7805831439251129,0.0
2016,FL_21,0.6408332420491474,114.0,20959.0,-0.401,-0.10099999999999999,-0.428,-0.021,50.0,1,1.0,1,0.43218390799999995,0.44897959200000004,26976.0,45.4,1190.0,6.5,0.15761651593706683,0.16175657906017005,0.18188844382953862,0.7681103032045592,0.0
2018,FL_21,1.0,115.0,21321.0,-0.40399999999999997,-0.091,-0.365,-0.251,70.0,1,0.6408332420491474,0,0.554022989,0.469387755,28778.0,46.1,1204.0,5.8,0.16042702730132954,0.1681936973510606,0.18512762610372474,0.7586509185019791,0.0
2006,FL_22,0.5191663760860946,109.0,14860.0,0.3,-0.142,0.34299999999999997,-0.235,67.0,0,0.3598536094056954,0,0.464367816,0.484848485,31445.0,43.8,1369.0,4.1,0.16790184786187537,0.05897244092214026,0.18610320068854372,0.8703507413975358,0.0
2008,FL_22,0.5468016626502127,110.0,20711.0,-0.265,-0.0,-0.261,0.055999999999999994,51.0,1,0.5191663760860946,0,0.535632184,0.5,31777.0,45.3,1432.0,5.9,0.18427095123561593,0.06561262026032824,0.1817021552537257,0.8770544472740992,0.0
2010,FL_22,0.4563636862465363,111.0,20711.0,-0.265,-0.0,-0.265,-0.059000000000000004,53.0,1,0.5468016626502127,1,0.590804598,0.581632653,31022.0,45.6,1359.0,10.8,0.1804692385378993,0.06468375328155024,0.18381239574890568,0.8825450727959306,0.0
2012,FL_22,0.546269057178723,112.0,21119.0,0.451,0.043,0.452,-0.051,51.0,0,0.4563636862465363,1,0.443678161,0.5204081629999999,27378.0,44.4,1194.0,9.8,0.16782342470630118,0.11313207547169811,0.17484086863652545,0.8138526165895337,1.0
2014,FL_22,0.5803349545789004,113.0,21321.0,-0.40399999999999997,-0.091,-0.42100000000000004,-0.022000000000000002,66.0,1,0.546269057178723,1,0.462068966,0.540816327,29810.0,44.8,1181.0,7.4,0.18082785691328224,0.1254149200248918,0.17653197294728276,0.8008999336675032,0.0
2016,FL_22,0.5893532632825218,114.0,21321.0,-0.40399999999999997,-0.091,-0.428,-0.054000000000000006,68.0,1,0.5803349545789004,1,0.43218390799999995,0.44897959200000004,31567.0,45.2,1321.0,6.0,0.17212310673130543,0.15839347425235983,0.1810211134312684,0.7510946122148818,0.0
2018,FL_22,0.6183331358631065,115.0,20959.0,-0.401,-0.10099999999999999,-0.33299999999999996,-0.27399999999999997,52.0,1,0.5893532632825218,0,0.554022989,0.469387755,31888.0,45.1,1372.0,5.8,0.1846855887354889,0.15098131384085603,0.18355929607368832,0.7655343882369097,0.0
2006,FL_23,1.0,109.0,29337.0,-0.564,0.156,-0.588,0.185,70.0,1,1.0,0,0.464367816,0.484848485,20109.0,32.9,988.0,8.0,0.06775360121085028,0.5598565003769465,0.21194934763707998,0.33535093572268293,0.0
2008,FL_23,0.8219826315238793,110.0,29337.0,-0.564,0.156,-0.507,0.077,72.0,1,1.0,0,0.535632184,0.5,21356.0,34.6,1100.0,10.8,0.07715605679938221,0.5546851361502206,0.20023091872233,0.3750412086051094,0.0
2010,FL_23,0.7911606578115117,111.0,29337.0,-0.564,0.156,-0.491,-0.064,74.0,1,0.8219826315238793,1,0.590804598,0.581632653,19062.0,35.1,1013.0,18.3,0.07163875638503701,0.5577110386033057,0.21183117793190176,0.37740655479048557,0.0
2012,FL_23,0.6397515984149893,112.0,29337.0,-0.564,0.156,-0.51,0.08,76.0,1,0.7911606578115117,1,0.443678161,0.5204081629999999,26894.0,41.1,1273.0,10.3,0.15596459837251234,0.1116481226305795,0.17560139577291953,0.7580637421247832,1.0
2014,FL_23,0.6266779134402991,113.0,20504.0,-0.423,0.066,-0.43799999999999994,0.225,48.0,1,0.6397515984149893,1,0.462068966,0.540816327,27562.0,41.2,1316.0,7.0,0.15482998713756776,0.11838779890772061,0.17738787150717844,0.7743663642602457,0.0
2016,FL_23,0.5834392105539687,114.0,20504.0,-0.423,0.066,-0.467,0.11800000000000001,50.0,1,0.6266779134402991,1,0.43218390799999995,0.44897959200000004,31368.0,41.6,1434.0,5.2,0.1700812808506266,0.13405935864057744,0.16000624518766923,0.7420470604248596,0.0
2018,FL_23,0.6180076382425623,115.0,20504.0,-0.423,0.066,-0.369,-0.187,52.0,1,0.5834392105539687,0,0.554022989,0.469387755,32405.0,41.0,1423.0,5.5,0.17630081570395914,0.15649844154121625,0.15380462895417468,0.7211552490218184,0.0
2006,FL_24,0.42059272294976086,109.0,20315.0,0.6409999999999999,-0.09,0.6890000000000001,-0.10400000000000001,48.0,0,0.0,0,0.464367816,0.484848485,26049.0,38.9,1036.0,4.5,0.1252746748443734,0.07273551849432294,0.20448496104611297,0.8258021585258531,0.0
2008,FL_24,0.5818139761584152,110.0,20315.0,0.6409999999999999,-0.09,0.615,-0.11699999999999999,50.0,0,0.42059272294976086,0,0.535632184,0.5,26824.0,39.7,1124.0,6.1,0.126968944131493,0.08279324438561704,0.19780052169102344,0.8314444223267213,0.0
2010,FL_24,0.4033505365104771,111.0,20911.0,-0.163,-0.051,-0.162,-0.064,66.0,1,0.5818139761584152,1,0.590804598,0.581632653,25201.0,39.3,1110.0,10.9,0.13348814529308223,0.08339055831845484,0.18815575107950472,0.8306384040340149,0.0
2012,FL_24,1.0,112.0,21120.0,0.5770000000000001,0.043,0.57,-0.075,56.0,0,0.4033505365104771,1,0.443678161,0.5204081629999999,20091.0,34.9,1068.0,15.3,0.08674853968901858,0.5518913716167394,0.2121394727987777,0.3881931306088904,1.0
2014,FL_24,0.8944894101681772,113.0,21118.0,-0.475,-0.013999999999999999,-0.45399999999999996,-0.081,72.0,1,1.0,1,0.462068966,0.540816327,20454.0,35.8,1058.0,12.1,0.08835905384459869,0.5757274748972303,0.20302041916571198,0.35890423883010986,0.0
2016,FL_24,1.0,114.0,21118.0,-0.475,-0.013999999999999999,-0.509,0.05,74.0,1,0.8944894101681772,1,0.43218390799999995,0.44897959200000004,21329.0,37.1,1073.0,8.5,0.08823089975774522,0.4870388354695154,0.2218845714651612,0.4226492214763668,0.0
2018,FL_24,1.0,115.0,21118.0,-0.475,-0.013999999999999999,-0.489,-0.017,76.0,1,1.0,0,0.554022989,0.469387755,21737.0,37.0,1119.0,9.4,0.09262927006541377,0.48898738448759216,0.22533226040909562,0.4369548852663275,0.0
2006,FL_25,0.415344500784159,109.0,20316.0,0.276,0.10300000000000001,0.44,-0.23199999999999998,45.0,0,0.0,0,0.464367816,0.484848485,22775.0,34.9,1353.0,5.3,0.10562478120831979,0.11719956687089314,0.1690019084280751,0.7584765699989084,0.0
2008,FL_25,0.4694561653108293,110.0,20316.0,0.276,0.10300000000000001,0.298,-0.08800000000000001,47.0,0,0.415344500784159,0,0.535632184,0.5,24341.0,35.8,1447.0,6.7,0.10869222566194055,0.10476035671274576,0.17469294972675173,0.8347161986104852,0.0
2010,FL_25,0.44955403428016794,111.0,20316.0,0.276,0.10300000000000001,0.233,0.147,49.0,0,0.4694561653108293,1,0.590804598,0.581632653,21821.0,36.7,1336.0,11.9,0.09980839368457996,0.10897253484721293,0.18123396364222738,0.8252019217544309,0.0
2012,FL_25,0.0,112.0,21121.0,0.257,0.349,0.254,0.36700000000000005,47.0,0,0.44955403428016794,1,0.443678161,0.5204081629999999,21285.0,38.6,1163.0,10.1,0.11416254369604306,0.07515021387328427,0.2100718681245044,0.8735927919677459,1.0
