year,dist_id,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted,dem_won_2016,dem_vote_share_2016
2008,NE_1,110.0,20518.0,0.299,-0.065,0.29600000000000004,-0.114,48.0,0,0.4164436407474382,0,0.535632184,0.5,25273.0,35.3,775.0,3.9,0.1218610667200988,0.01634729573210961,0.18481322379749227,0.9237598617281054,0.0,0.0,0.3054736164076739
2010,NE_1,111.0,20518.0,0.299,-0.065,0.311,-0.233,50.0,0,0.2963891636861731,1,0.590804598,0.581632653,25038.0,36.0,763.0,6.6,0.12407376861978835,0.022557857741010483,0.18719072753571697,0.9168469434364452,0.0,0.0,0.3054736164076739
2012,NE_1,112.0,20518.0,0.299,-0.065,0.293,-0.2,52.0,0,0.2872719954627783,1,0.443678161,0.5204081629999999,26459.0,35.2,820.0,5.6,0.1208729029002726,0.023000994646320213,0.17374875266192827,0.9076977887255148,1.0,0.0,0.3054736164076739
2014,NE_1,113.0,20518.0,0.299,-0.065,0.262,0.126,54.0,0,0.3170932661707569,1,0.462068966,0.540816327,27163.0,35.4,836.0,3.9,0.13318828926831575,0.02958583613173785,0.173925176181242,0.894972331268032,0.0,0.0,0.3054736164076739
2016,NE_1,114.0,20518.0,0.299,-0.065,0.318,-0.006999999999999999,56.0,0,0.3118448315340925,1,0.432183908,0.448979592,30197.0,35.4,849.0,3.7,0.13541236339054344,0.0305595197856812,0.1691234461261126,0.8916998410135076,0.0,0.0,0.3054736164076739
2006,NE_2,109.0,29921.0,0.426,-0.067,0.463,-0.047,44.0,0,0.3717249897076986,0,0.464367816,0.484848485,26882.0,33.8,911.0,6.0,0.14624335324624171,0.09920074837523796,0.15734917613076874,0.808594827020285,0.0,0.0,0.4937847187334032
2008,NE_2,110.0,29921.0,0.426,-0.067,0.445,-0.19,46.0,0,0.4533709933563762,0,0.535632184,0.5,28215.0,33.9,950.0,4.8,0.14176357872900058,0.09573694635719432,0.15202457080262252,0.8071996587747557,0.0,0.0,0.4937847187334032
2010,NE_2,111.0,29921.0,0.426,-0.067,0.403,-0.208,48.0,0,0.4807343261387741,1,0.590804598,0.581632653,27882.0,33.4,945.0,7.7,0.15486873337138615,0.09921336714419833,0.14054278290867012,0.8149338598346262,0.0,0.0,0.4937847187334032
2012,NE_2,112.0,29921.0,0.426,-0.067,0.407,-0.1,50.0,0,0.3919365499008592,1,0.443678161,0.5204081629999999,30004.0,33.8,959.0,6.2,0.16090647855807494,0.10405633057556192,0.14084556426999278,0.7970320620809354,1.0,0.0,0.4937847187334032
2014,NE_2,113.0,29921.0,0.426,-0.067,0.4,-0.051,52.0,0,0.4920430286921143,1,0.462068966,0.540816327,30346.0,34.0,1005.0,5.0,0.1604926331224797,0.09789172366994517,0.1408325468570849,0.8196351270191641,0.0,0.0,0.4937847187334032
2016,NE_2,114.0,21533.0,-0.185,0.441,-0.181,0.4270000000000001,67.0,1,0.5176357318751581,1,0.432183908,0.448979592,33430.0,34.8,1041.0,3.8,0.17082714454685982,0.09610189641559604,0.14256846486836414,0.8188044323307248,0.0,0.0,0.4937847187334032
2006,NE_3,109.0,20126.0,0.299,0.025,0.302,0.097,69.0,0,0.10781246813630524,0,0.464367816,0.484848485,20750.0,40.2,552.0,3.9,0.08701660167567983,0.0020861304419922014,0.240167104397456,0.9403206222017768,0.0,0.0,0.0
2008,NE_3,110.0,20729.0,0.51,0.182,0.519,0.151,38.0,0,0.4500781200872623,0,0.535632184,0.5,22761.0,40.6,583.0,3.2,0.09178875564587748,0.0034270272037310464,0.24218022131294914,0.9426286224876186,0.0,0.0,0.0
2010,NE_3,111.0,20729.0,0.51,0.182,0.519,-0.079,40.0,0,0.2312597605413847,1,0.590804598,0.581632653,22517.0,40.5,624.0,5.2,0.09806999425455028,0.004993708643053644,0.2284004202590643,0.9422107989396872,0.0,0.0,0.0
2012,NE_3,112.0,20729.0,0.51,0.182,0.495,0.331,42.0,0,0.20333272194936386,1,0.443678161,0.5204081629999999,24186.0,40.9,633.0,4.2,0.0939754674915469,0.0097504792148281,0.2273872302616965,0.9408225218628912,1.0,0.0,0.0
2014,NE_3,113.0,20729.0,0.51,0.182,0.4920000000000001,0.39,44.0,0,0.2582858771058495,1,0.462068966,0.540816327,25420.0,40.3,657.0,3.6,0.09958625331591242,0.011714574177455757,0.21934678175027386,0.936837642369772,0.0,0.0,0.0
2016,NE_3,114.0,20729.0,0.51,0.182,0.557,0.353,46.0,0,0.24612356999199844,1,0.432183908,0.448979592,27047.0,39.8,659.0,3.6,0.10290381364449702,0.01122542122103848,0.20762333464046687,0.9287425485149756,0.0,0.0,0.0
2006,NH_1,109.0,20335.0,0.371,-0.578,0.399,-0.68,54.0,0,0.3659545226612848,0,0.464367816,0.484848485,29692.0,38.9,1178.0,4.9,0.14159254610729244,0.01116452725204917,0.20601513071347552,0.9555261540227491,0.0,1.0,0.5076803568296289
2008,NH_1,110.0,20731.0,-0.315,-0.13,-0.336,-0.032,56.0,1,0.5131588335422846,0,0.535632184,0.5,30632.0,39.7,1268.0,4.3,0.15167692653609388,0.010974920544249105,0.19340107075359905,0.9493063193908494,0.0,1.0,0.5076803568296289
2010,NH_1,111.0,20731.0,-0.315,-0.13,-0.322,-0.125,58.0,1,0.5301962599129136,1,0.590804598,0.581632653,30719.0,41.4,1269.0,7.5,0.14482142122904348,0.014695647803952444,0.20361314963519767,0.9382447761921368,0.0,1.0,0.5076803568296289
2012,NH_1,112.0,21152.0,0.433,0.16399999999999998,0.433,0.07400000000000001,42.0,0,0.43978577809705377,1,0.443678161,0.5204081629999999,30471.0,42.1,1256.0,6.8,0.147974440778411,0.015180711210487884,0.20565387190697365,0.9380364603689666,1.0,1.0,0.5076803568296289
