,year_x,district,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_x,year_x,median_age_x,year_y,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_x,unemp_rate_x,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_y,year_y,median_age_y,year_x,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_y,unemp_rate_y,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_x,year_x,median_age_x,year_y,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_x,unemp_rate_x,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_y,year_y,median_age_y,year_x,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_y,unemp_rate_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost,year_y,median_age,year_x,high_school_num,bach_deg_num,median_HH_income,year_y,unemp_rate
20,2005,"Congressional District 1 (109th Congress), California",653052,524535,7015,2005,967,2005,37.5,2005.0,424524.0,111028.0,23614.0,2005,6.6,2006,686677,536749,12077,2006,997,2006,34.6,2006.0,65183.0,60759.0,260596.0,2006,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2005,"Congressional District 2 (109th Congress), California",687982,543345,7333,2005,794,2005,40.7,2005.0,443524.0,122937.0,20541.0,2005,9.4,2006,701123,565575,7901,2006,842,2006,37.3,2006.0,67753.0,65877.0,244930.0,2006,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2005,"Congressional District 3 (109th Congress), California",733436,534977,36703,2005,1249,2005,45.0,2005.0,468811.0,109769.0,31105.0,2005,6.4,2006,785650,560433,47293,2006,1371,2006,42.7,2006.0,44365.0,70741.0,205836.0,2006,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2005,"Congressional District 4 (109th Congress), California",711823,617260,6921,2005,1211,2005,36.4,2005.0,486641.0,111905.0,27813.0,2005,6.2,2006,748169,639732,8765,2006,1261,2006,33.2,2006.0,57056.0,69916.0,182046.0,2006,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2005,"Congressional District 5 (109th Congress), California",664084,328182,98993,2005,939,2005,43.9,2005.0,416526.0,97542.0,23369.0,2005,8.3,2006,658493,336436,92596,2006,1026,2006,40.2,2006.0,56013.0,61373.0,288263.0,2006,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2005,"Congressional District 6 (109th Congress), California",616098,499064,10511,2005,1513,2005,35.6,2005.0,424981.0,73626.0,32832.0,2005,6.0,2006,641428,513789,14965,2006,1525,2006,33.4,2006.0,41574.0,60421.0,216823.0,2006,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2005,"Congressional District 7 (109th Congress), California",632578,310771,102525,2005,1395,2005,40.4,2005.0,413047.0,102372.0,29644.0,2005,7.6,2006,654534,312348,103029,2006,1466,2006,38.4,2006.0,43403.0,51811.0,198387.0,2006,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2005,"Congressional District 8 (109th Congress), California",590357,320956,44277,2005,1223,2005,20.9,2005.0,463917.0,68124.0,31446.0,2005,6.9,2006,602099,321240,47775,2006,1315,2006,20.0,2006.0,47035.0,48281.0,337659.0,2006,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2005,"Congressional District 9 (109th Congress), California",600061,265114,137618,2005,1139,2005,35.1,2005.0,405215.0,73172.0,27270.0,2005,9.0,2006,623539,277818,135893,2006,1210,2006,33.7,2006.0,52274.0,49534.0,283946.0,2006,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2005,"Congressional District 10 (109th Congress), California",688345,435056,46150,2005,1574,2005,44.5,2005.0,438047.0,86758.0,35461.0,2005,6.2,2006,683572,443040,49346,2006,1736,2006,40.4,2006.0,37552.0,53992.0,180208.0,2006,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
