"state_name","Location","Incumbent","Inc_party","Inc_first_elected","Candidate","Cand_party","district_num","state_abb","dist_id","Cand_party_abb","is_incumbent","years_in_congress"
"California","California 22","Devin Nunes","Republican",2002,"Devin Nunes","Republican","22","CA","CA_22","R",1,16
"California","California 23","Kevin McCarthy","Republican",2006,"Tatiana Matta","Democratic","23","CA","CA_23","D",0,0
"California","California 23","Kevin McCarthy","Republican",2006,"Kevin McCarthy","Republican","23","CA","CA_23","R",1,12
"California","California 24","Salud Carbajal","Democratic",2016,"Salud Carbajal","Democratic","24","CA","CA_24","D",1,2
"California","California 24","Salud Carbajal","Democratic",2016,"Justin Fareed","Republican","24","CA","CA_24","R",0,0
"California","California 25","Steve Knight","Republican",2014,"Katie Hill","Democratic","25","CA","CA_25","D",0,0
"California","California 25","Steve Knight","Republican",2014,"Steve Knight","Republican","25","CA","CA_25","R",1,4
"California","California 26","Julia Brownley","Democratic",2012,"Julia Brownley","Democratic","26","CA","CA_26","D",1,6
"California","California 26","Julia Brownley","Democratic",2012,"Antonio Sabàto Jr.","Republican","26","CA","CA_26","R",0,0
"California","California 27","Judy Chu","Democratic",2009,"Judy Chu","Democratic","27","CA","CA_27","D",1,9
"California","California 27","Judy Chu","Democratic",2009,"Bryan Witt","Democratic","27","CA","CA_27","D",0,0
"California","California 28","Adam Schiff","Democratic",2000,"Johnny Nalbandian","Republican","28","CA","CA_28","R",0,0
"California","California 28","Adam Schiff","Democratic",2000,"Adam Schiff","Democratic","28","CA","CA_28","D",1,18
"California","California 29","Tony Cárdenas","Democratic",2012,"Benito Bernal","Republican","29","CA","CA_29","R",0,0
"California","California 29","Tony Cárdenas","Democratic",2012,"Tony Cárdenas","Democratic","29","CA","CA_29","D",1,6
"California","California 30","Brad Sherman","Democratic",1996,"Mark Reed","Republican","30","CA","CA_30","R",0,0
"California","California 30","Brad Sherman","Democratic",1996,"Brad Sherman","Democratic","30","CA","CA_30","D",1,22
"California","California 31","Pete Aguilar","Democratic",2014,"Pete Aguilar","Democratic","31","CA","CA_31","D",1,4
"California","California 31","Pete Aguilar","Democratic",2014,"Sean Flynn","Republican","31","CA","CA_31","R",0,0
"California","California 32","Grace Napolitano","Democratic",1998,"Grace Napolitano","Democratic","32","CA","CA_32","D",1,20
"California","California 32","Grace Napolitano","Democratic",1998,"Joshua Scott","Republican","32","CA","CA_32","R",0,0
"California","California 33","Ted Lieu","Democratic",2014,"Ted Lieu","Democratic","33","CA","CA_33","D",1,4
"California","California 33","Ted Lieu","Democratic",2014,"Kenneth Wright","Republican","33","CA","CA_33","R",0,0
"California","California 34","Jimmy Gomez","Democratic",2017,"Jimmy Gomez","Democratic","34","CA","CA_34","D",1,1
"California","California 35","Norma Torres","Democratic",2014,"Norma Torres","Democratic","35","CA","CA_35","D",1,4
"California","California 35","Norma Torres","Democratic",2014,"Christian Valiente","Republican","35","CA","CA_35","R",0,0
"California","California 36","Raul Ruiz","Democratic",2012,"Kimberlin Brown Pelzer","Republican","36","CA","CA_36","R",0,0
"California","California 36","Raul Ruiz","Democratic",2012,"Raul Ruiz","Democratic","36","CA","CA_36","D",1,6
"California","California 37","Karen Bass","Democratic",2010,"Karen Bass","Democratic","37","CA","CA_37","D",1,8
"California","California 37","Karen Bass","Democratic",2010,"Ron Bassilian","Republican","37","CA","CA_37","R",0,0
"California","California 38","Linda Sánchez","Democratic",2002,"Ryan Downing","Republican","38","CA","CA_38","R",0,0
"California","California 38","Linda Sánchez","Democratic",2002,"Linda Sánchez","Democratic","38","CA","CA_38","D",1,16
"California","California 39","Ed Royce","Republican",1992,"Gil Cisneros","Democratic","39","CA","CA_39","D",0,0
"California","California 39","Ed Royce","Republican",1992,"Young Kim","Republican","39","CA","CA_39","R",0,0
"California","California 40","Lucille Roybal-Allard","Democratic",1992,"Lucille Roybal-Allard","Democratic","40","CA","CA_40","D",1,26
"California","California 41","Mark Takano","Democratic",2012,"Aja Smith","Republican","41","CA","CA_41","R",0,0
"California","California 41","Mark Takano","Democratic",2012,"Mark Takano","Democratic","41","CA","CA_41","D",1,6
"California","California 42","Ken Calvert","Republican",1992,"Ken Calvert","Republican","42","CA","CA_42","R",1,26
"California","California 42","Ken Calvert","Republican",1992,"Julia Peacock","Democratic","42","CA","CA_42","D",0,0
"California","California 43","Maxine Waters","Democratic",1990,"Omar Navarro","Republican","43","CA","CA_43","R",0,0
"California","California 43","Maxine Waters","Democratic",1990,"Maxine Waters","Democratic","43","CA","CA_43","D",1,28
"California","California 44","Nanette Barragán","Democratic",2016,"Nanette Barragán","Democratic","44","CA","CA_44","D",1,2
"California","California 44","Nanette Barragán","Democratic",2016,"Aja Brown","Democratic","44","CA","CA_44","D",0,0
"California","California 45","Mimi Walters","Republican",2014,"Katie Porter","Democratic","45","CA","CA_45","D",0,0
"California","California 45","Mimi Walters","Republican",2014,"Mimi Walters","Republican","45","CA","CA_45","R",1,4
"California","California 46","Lou Correa","Democratic",2016,"Lou Correa","Democratic","46","CA","CA_46","D",1,2
"California","California 46","Lou Correa","Democratic",2016,"Russell Lambert","Republican","46","CA","CA_46","R",0,0
"California","California 47","Alan Lowenthal","Democratic",2012,"John Briscoe","Republican","47","CA","CA_47","R",0,0
"California","California 47","Alan Lowenthal","Democratic",2012,"Alan Lowenthal","Democratic","47","CA","CA_47","D",1,6
"California","California 48","Dana Rohrabacher","Republican",1988,"Harley Rouda","Democratic","48","CA","CA_48","D",0,0
"California","California 48","Dana Rohrabacher","Republican",1988,"Dana Rohrabacher","Republican","48","CA","CA_48","R",1,30
"California","California 49","Darrell Issa","Republican",2000,"Diane Harkey","Republican","49","CA","CA_49","R",0,0
"California","California 49","Darrell Issa","Republican",2000,"Mike Levin","Democratic","49","CA","CA_49","D",0,0
"California","California 50","Duncan Hunter","Republican",2008,"Ammar Campa-Najjar","Democratic","50","CA","CA_50","D",0,0
"California","California 50","Duncan Hunter","Republican",2008,"Duncan Hunter","Republican","50","CA","CA_50","R",1,10
"California","California 51","Juan Vargas","Democratic",2012,"Juan Hidalgo Jr.","Republican","51","CA","CA_51","R",0,0
"California","California 51","Juan Vargas","Democratic",2012,"Juan Vargas","Democratic","51","CA","CA_51","D",1,6
"California","California 52","Scott Peters","Democratic",2012,"Scott Peters","Democratic","52","CA","CA_52","D",1,6
"California","California 52","Scott Peters","Democratic",2012,"Omar Qudrat","Republican","52","CA","CA_52","R",0,0
"California","California 53","Susan Davis","Democratic",2000,"Susan Davis","Democratic","53","CA","CA_53","D",1,18
"California","California 53","Susan Davis","Democratic",2000,"Morgan Murtaugh","Republican","53","CA","CA_53","R",0,0
"Colorado","Colorado 1","Diana DeGette","Democratic",1996,"Diana DeGette","Democratic","1","CO","CO_1","D",1,22
"Colorado","Colorado 1","Diana DeGette","Democratic",1996,"Casper Stockham","Republican","1","CO","CO_1","R",0,0
"Colorado","Colorado 2","Jared Polis","Democratic",2008,"Joe Neguse","Democratic","2","CO","CO_2","D",0,0
"Colorado","Colorado 2","Jared Polis","Democratic",2008,"Peter Yu","Republican","2","CO","CO_2","R",0,0
"Colorado","Colorado 3","Scott Tipton","Republican",2010,"Diane Mitsch Bush","Democratic","3","CO","CO_3","D",0,0
"Colorado","Colorado 3","Scott Tipton","Republican",2010,"Scott Tipton","Republican","3","CO","CO_3","R",1,8
"Colorado","Colorado 4","Ken Buck","Republican",2014,"Ken Buck","Republican","4","CO","CO_4","R",1,4
"Colorado","Colorado 4","Ken Buck","Republican",2014,"Karen McCormick","Democratic","4","CO","CO_4","D",0,0
"Colorado","Colorado 5","Doug Lamborn","Republican",2006,"Doug Lamborn","Republican","5","CO","CO_5","R",1,12
"Colorado","Colorado 5","Doug Lamborn","Republican",2006,"Stephany Rose Spaulding","Democratic","5","CO","CO_5","D",0,0
"Colorado","Colorado 6","Mike Coffman","Republican",2008,"Mike Coffman","Republican","6","CO","CO_6","R",1,10
"Colorado","Colorado 6","Mike Coffman","Republican",2008,"Jason Crow","Democratic","6","CO","CO_6","D",0,0
"Colorado","Colorado 7","Ed Perlmutter","Democratic",2006,"Mark Barrington","Republican","7","CO","CO_7","R",0,0
"Colorado","Colorado 7","Ed Perlmutter","Democratic",2006,"Ed Perlmutter","Democratic","7","CO","CO_7","D",1,12
"Connecticut","Connecticut 1","John Larson","Democratic",1998,"John Larson","Democratic","1","CT","CT_1","D",1,20
"Connecticut","Connecticut 1","John Larson","Democratic",1998,"Jennifer Nye","Republican","1","CT","CT_1","R",0,0
"Connecticut","Connecticut 2","Joe Courtney","Democratic",2006,"Joe Courtney","Democratic","2","CT","CT_2","D",1,12
"Connecticut","Connecticut 2","Joe Courtney","Democratic",2006,"Danny Postemski","Republican","2","CT","CT_2","R",0,0
"Connecticut","Connecticut 3","Rosa DeLauro","Democratic",1990,"Angel Cadena","Republican","3","CT","CT_3","R",0,0
"Connecticut","Connecticut 3","Rosa DeLauro","Democratic",1990,"Rosa DeLauro","Democratic","3","CT","CT_3","D",1,28
"Connecticut","Connecticut 4","Jim Himes","Democratic",2008,"Harry Arora","Republican","4","CT","CT_4","R",0,0
"Connecticut","Connecticut 4","Jim Himes","Democratic",2008,"Jim Himes","Democratic","4","CT","CT_4","D",1,10
"Connecticut","Connecticut 5","Elizabeth Esty","Democratic",2012,"Jahana Hayes","Democratic","5","CT","CT_5","D",0,0
"Connecticut","Connecticut 5","Elizabeth Esty","Democratic",2012,"Manny Santos","Republican","5","CT","CT_5","R",0,0
"Delaware","Delaware 1","Lisa Blunt Rochester","Democratic",2016,"Lisa Blunt Rochester","Democratic","1","DE","DE_1","D",1,2
"Delaware","Delaware 1","Lisa Blunt Rochester","Democratic",2016,"Scott Walker","Republican","1","DE","DE_1","R",0,0
"Florida","Florida 1","Matt Gaetz","Republican",2016,"Matt Gaetz","Republican","1","FL","FL_1","R",1,2
"Florida","Florida 1","Matt Gaetz","Republican",2016,"Jennifer Zimmerman","Democratic","1","FL","FL_1","D",0,0
"Florida","Florida 2","Neal Dunn","Republican",2016,"Neal Dunn","Republican","2","FL","FL_2","R",1,2
"Florida","Florida 2","Neal Dunn","Republican",2016,"Bob Rackleff","Democratic","2","FL","FL_2","D",0,0
"Florida","Florida 3","Ted Yoho","Republican",2012,"Yvonne Hayes Hinson","Democratic","3","FL","FL_3","D",0,0
"Florida","Florida 3","Ted Yoho","Republican",2012,"Ted Yoho","Republican","3","FL","FL_3","R",1,6
"Florida","Florida 4","John Rutherford","Republican",2016,"John Rutherford","Republican","4","FL","FL_4","R",1,2
"Florida","Florida 4","John Rutherford","Republican",2016,"Ges Selmont","Democratic","4","FL","FL_4","D",0,0
"Florida","Florida 5","Al Lawson","Democratic",2016,"Virginia Fuller","Republican","5","FL","FL_5","R",0,0
"Florida","Florida 5","Al Lawson","Democratic",2016,"Al Lawson","Democratic","5","FL","FL_5","D",1,2
"Florida","Florida 6","Ron DeSantis","Republican",2012,"Nancy Soderberg","Democratic","6","FL","FL_6","D",0,0
"Florida","Florida 6","Ron DeSantis","Republican",2012,"Michael Waltz","Republican","6","FL","FL_6","R",0,0
"Florida","Florida 7","Stephanie Murphy","Democratic",2016,"Mike Miller","Republican","7","FL","FL_7","R",0,0
"Florida","Florida 7","Stephanie Murphy","Democratic",2016,"Stephanie Murphy","Democratic","7","FL","FL_7","D",1,2
"Florida","Florida 8","Bill Posey","Republican",2008,"Sanjay Patel","Democratic","8","FL","FL_8","D",0,0
"Florida","Florida 8","Bill Posey","Republican",2008,"Bill Posey","Republican","8","FL","FL_8","R",1,10
"Florida","Florida 9","Darren Soto","Democratic",2016,"Wayne Liebnitzky","Republican","9","FL","FL_9","R",0,0
"Florida","Florida 9","Darren Soto","Democratic",2016,"Darren Soto","Democratic","9","FL","FL_9","D",1,2
"Florida","Florida 10","Val Demings","Democratic",2016,"Val Demings","Democratic","10","FL","FL_10","D",1,2
"Florida","Florida 11","Daniel Webster","Republican",2010,"Dana Cottrell","Democratic","11","FL","FL_11","D",0,0
"Florida","Florida 11","Daniel Webster","Republican",2010,"Daniel Webster","Republican","11","FL","FL_11","R",1,8
"Florida","Florida 12","Gus Bilirakis","Republican",2006,"Gus Bilirakis","Republican","12","FL","FL_12","R",1,12
"Florida","Florida 12","Gus Bilirakis","Republican",2006,"Chris Hunter","Democratic","12","FL","FL_12","D",0,0
"Florida","Florida 13","Charlie Crist","Democratic",2016,"George Buck","Republican","13","FL","FL_13","R",0,0
"Florida","Florida 13","Charlie Crist","Democratic",2016,"Charlie Crist","Democratic","13","FL","FL_13","D",1,2
"Florida","Florida 14","Kathy Castor","Democratic",2006,"Kathy Castor","Democratic","14","FL","FL_14","D",1,12
"Florida","Florida 15","Dennis Ross","Republican",2010,"Kristen Carlson","Democratic","15","FL","FL_15","D",0,0
"Florida","Florida 15","Dennis Ross","Republican",2010,"Ross Spano","Republican","15","FL","FL_15","R",0,0
"Florida","Florida 16","Vern Buchanan","Republican",2006,"Vern Buchanan","Republican","16","FL","FL_16","R",1,12
"Florida","Florida 16","Vern Buchanan","Republican",2006,"David Shapiro","Democratic","16","FL","FL_16","D",0,0
"Florida","Florida 17","Tom Rooney","Republican",2008,"Allen Ellison","Democratic","17","FL","FL_17","D",0,0
"Florida","Florida 17","Tom Rooney","Republican",2008,"Greg Steube","Republican","17","FL","FL_17","R",0,0
"Florida","Florida 18","Brian Mast","Republican",2016,"Lauren Baer","Democratic","18","FL","FL_18","D",0,0
"Florida","Florida 18","Brian Mast","Republican",2016,"Brian Mast","Republican","18","FL","FL_18","R",1,2
"Florida","Florida 19","Francis Rooney","Republican",2016,"David Holden","Democratic","19","FL","FL_19","D",0,0
"Florida","Florida 19","Francis Rooney","Republican",2016,"Francis Rooney","Republican","19","FL","FL_19","R",1,2
"Florida","Florida 20","Alcee Hastings","Democratic",1992,"Alcee Hastings","Democratic","20","FL","FL_20","D",1,26
"Florida","Florida 21","Lois Frankel","Democratic",2012,"Lois Frankel","Democratic","21","FL","FL_21","D",1,6
"Florida","Florida 22","Ted Deutch","Democratic",2010,"Ted Deutch","Democratic","22","FL","FL_22","D",1,8
"Florida","Florida 22","Ted Deutch","Democratic",2010,"Nicolas Kimaz","Republican","22","FL","FL_22","R",0,0
"Florida","Florida 23","Debbie Wasserman Schultz","Democratic",2004,"Joseph Kaufman","Republican","23","FL","FL_23","R",0,0
"Florida","Florida 23","Debbie Wasserman Schultz","Democratic",2004,"Debbie Wasserman Schultz","Democratic","23","FL","FL_23","D",1,14
"Florida","Florida 24","Frederica Wilson","Democratic",2010,"Frederica Wilson","Democratic","24","FL","FL_24","D",1,8
"Florida","Florida 25","Mario Díaz-Balart","Republican",2002,"Mary Barzee Flores","Democratic","25","FL","FL_25","D",0,0
"Florida","Florida 25","Mario Díaz-Balart","Republican",2002,"Mario Díaz-Balart","Republican","25","FL","FL_25","R",1,16
"Florida","Florida 26","Carlos Curbelo","Republican",2014,"Carlos Curbelo","Republican","26","FL","FL_26","R",1,4
"Florida","Florida 26","Carlos Curbelo","Republican",2014,"Debbie Mucarsel-Powell","Democratic","26","FL","FL_26","D",0,0
"Florida","Florida 27","Ileana Ros-Lehtinen","Republican",1989,"Maria Elvira Salazar","Republican","27","FL","FL_27","R",0,0
"Florida","Florida 27","Ileana Ros-Lehtinen","Republican",1989,"Donna Shalala","Democratic","27","FL","FL_27","D",0,0
"Georgia","Georgia 1","Buddy Carter","Republican",2014,"Buddy Carter","Republican","1","GA","GA_1","R",1,4
"Georgia","Georgia 1","Buddy Carter","Republican",2014,"Lisa Ring","Democratic","1","GA","GA_1","D",0,0
"Georgia","Georgia 2","Sanford Bishop","Democratic",1992,"Sanford Bishop","Democratic","2","GA","GA_2","D",1,26
"Georgia","Georgia 2","Sanford Bishop","Democratic",1992,"Herman West","Republican","2","GA","GA_2","R",0,0
"Georgia","Georgia 3","Drew Ferguson","Republican",2016,"Chuck Enderlin","Democratic","3","GA","GA_3","D",0,0
"Georgia","Georgia 3","Drew Ferguson","Republican",2016,"Drew Ferguson","Republican","3","GA","GA_3","R",1,2
"Georgia","Georgia 4","Hank Johnson","Democratic",2006,"Hank Johnson","Democratic","4","GA","GA_4","D",1,12
"Georgia","Georgia 4","Hank Johnson","Democratic",2006,"Joe Profit","Republican","4","GA","GA_4","R",0,0
"Georgia","Georgia 5","John Lewis","Democratic",1986,"John Lewis","Democratic","5","GA","GA_5","D",1,32
"Georgia","Georgia 6","Karen Handel","Republican",2017,"Karen Handel","Republican","6","GA","GA_6","R",1,1
"Georgia","Georgia 6","Karen Handel","Republican",2017,"Lucy McBath","Democratic","6","GA","GA_6","D",0,0
"Georgia","Georgia 7","Rob Woodall","Republican",2010,"Carolyn Bourdeaux","Democratic","7","GA","GA_7","D",0,0
"Georgia","Georgia 7","Rob Woodall","Republican",2010,"Rob Woodall","Republican","7","GA","GA_7","R",1,8
"Georgia","Georgia 8","Austin Scott","Republican",2010,"Austin Scott","Republican","8","GA","GA_8","R",1,8
"Georgia","Georgia 9","Doug Collins","Republican",2012,"Doug Collins","Republican","9","GA","GA_9","R",1,6
