congress,year,delsouth,state_fips,contest_uid,inc,king_dist,lewis_dist,state_name,turnout,inc,vote_share,geom_uid
114.0,2014.0,1.0,37.0,114037003,-1,,3.0,north carolina,205597.0,-1,0.3219015841670841,037113114003
114.0,2014.0,1.0,37.0,114037004,1,,4.0,north carolina,227362.0,1,0.7474687942576156,037113114004
114.0,2014.0,1.0,1.0,114001003,-1,,3.0,alabama,156374.0,-1,0.337754358141379,001113114003
114.0,2014.0,1.0,1.0,114001004,-1,,4.0,alabama,132831.0,-1,0.0,001113114004
114.0,2014.0,1.0,1.0,114001005,-1,,5.0,alabama,115338.0,-1,0.0,001113114005
114.0,2014.0,1.0,1.0,114001006,0,,6.0,alabama,178236.0,0,0.2372752979196122,001113114006
114.0,2014.0,1.0,1.0,114001007,1,,7.0,alabama,133687.0,1,1.0,001113114007
114.0,2014.0,0.0,4.0,114004001,1,,1.0,arizona,185114.0,1,0.5261136380824789,004113114001
114.0,2014.0,0.0,4.0,114004002,1,,2.0,arizona,219295.0,1,0.4995234729473996,004113114002
114.0,2014.0,0.0,4.0,114004003,1,,3.0,arizona,104377.0,1,0.5575174607432672,004113114003
114.0,2014.0,0.0,4.0,114004004,-1,,4.0,arizona,167739.0,-1,0.2693410596223895,004113114004
114.0,2014.0,0.0,4.0,114004005,-1,,5.0,arizona,179463.0,-1,0.3042186968901668,004113114005
114.0,2014.0,0.0,4.0,114004006,-1,,6.0,arizona,199776.0,-1,0.3513835495755246,004113114006
114.0,2014.0,0.0,4.0,114004007,0,,7.0,arizona,54381.0,0,0.9976278479616042,004113114007
114.0,2014.0,0.0,4.0,114004008,-1,,8.0,arizona,128710.0,-1,0.0,004113114008
114.0,2014.0,0.0,4.0,114004009,1,,9.0,arizona,156450.0,1,0.5663726430169383,004113114009
114.0,2014.0,1.0,5.0,114005001,-1,,1.0,arkansas,187694.0,-1,0.338609651880188,005113114001
114.0,2014.0,1.0,5.0,114005002,0,,2.0,arkansas,226550.0,0,0.456751269035533,005113114002
114.0,2014.0,1.0,5.0,114005003,-1,,3.0,arkansas,151630.0,-1,0.0,005113114003
114.0,2014.0,1.0,5.0,114005004,0,,4.0,arkansas,198531.0,0,0.4419561680543593,005113114004
114.0,2014.0,0.0,6.0,114006001,-1,,1.0,california,216372.0,-1,0.3896992217107574,006113114001
114.0,2014.0,0.0,6.0,114006002,1,,2.0,california,217524.0,1,0.7499126533164157,006113114002
114.0,2014.0,0.0,6.0,114006003,1,,3.0,california,150260.0,1,0.527246106748303,006113114003
114.0,2014.0,0.0,6.0,114006004,-1,,4.0,california,211134.0,-1,0.0,006113114004
114.0,2014.0,0.0,6.0,114006005,1,,5.0,california,129613.0,1,1.0,006113114005
114.0,2014.0,0.0,6.0,114006006,1,,6.0,california,133456.0,1,0.7268912600407625,006113114006
114.0,2014.0,0.0,6.0,114006007,1,,7.0,california,183587.0,1,0.5039626988839079,006113114007
114.0,2014.0,0.0,6.0,114006008,-1,,8.0,california,114536.0,-1,0.3235314660892645,006113114008
114.0,2014.0,0.0,6.0,114006009,1,,9.0,california,121204.0,1,0.5237038381571565,006113114009
114.0,2014.0,0.0,6.0,114006010,-1,,10.0,california,125705.0,-1,0.4385107990931149,006113114010
114.0,2014.0,0.0,6.0,114006011,0,,11.0,california,174662.0,0,0.6727393479978473,006113114011
114.0,2014.0,0.0,6.0,114006012,1,,12.0,california,192264.0,1,0.8325375525319353,006113114012
114.0,2014.0,0.0,6.0,114006013,1,,13.0,california,190431.0,1,0.8847876658737286,006113114013
114.0,2014.0,0.0,6.0,114006014,1,,14.0,california,149146.0,1,0.7669598916497928,006113114014
114.0,2014.0,0.0,6.0,114006015,1,,15.0,california,142906.0,1,0.6980532657831022,006113114015
114.0,2014.0,0.0,6.0,114006016,1,,16.0,california,91220.0,1,0.5073119929839948,006113114016
114.0,2014.0,0.0,6.0,114006017,1,,17.0,california,134408.0,1,1.0,006113114017
114.0,2014.0,0.0,6.0,114006018,1,,18.0,california,196386.0,1,0.6775432057274958,006113114018
114.0,2014.0,0.0,6.0,114006019,1,,19.0,california,127788.0,1,1.0,006113114019
114.0,2014.0,0.0,6.0,114006020,1,,20.0,california,106034.0,1,1.0,006113114020
114.0,2014.0,0.0,6.0,114006021,-1,,21.0,california,79377.0,-1,0.4216586668682364,006113114021
114.0,2014.0,0.0,6.0,114006022,-1,,22.0,california,133342.0,-1,0.2796493227940184,006113114022
114.0,2014.0,0.0,6.0,114006023,-1,,23.0,california,134043.0,-1,0.2516058279805734,006113114023
114.0,2014.0,0.0,6.0,114006024,1,,24.0,california,198794.0,1,0.5192712053683712,006113114024
114.0,2014.0,0.0,6.0,114006025,0,,25.0,california,114072.0,0,0.0,006113114025
114.0,2014.0,0.0,6.0,114006026,1,,26.0,california,169829.0,1,0.5133163358437016,006113114026
114.0,2014.0,0.0,6.0,114006027,1,,27.0,california,127580.0,1,0.5935726602915817,006113114027
114.0,2014.0,0.0,6.0,114006028,1,,28.0,california,91996.0,1,1.0,006113114028
114.0,2014.0,0.0,6.0,114006029,1,,29.0,california,67141.0,1,0.746131275971463,006113114029
114.0,2014.0,0.0,6.0,114006030,1,,30.0,california,131883.0,1,0.656399990901026,006113114030
