year,dist_id,redistricted
2004,ME_1,True
2004,ME_2,True
2004,PA_1,True
2004,PA_10,True
2004,PA_11,True
2004,PA_12,True
2004,PA_13,True
2004,PA_14,True
2004,PA_15,True
2004,PA_16,True
2004,PA_17,True
2004,PA_18,True
2004,PA_19,True
2004,PA_2,True
2004,PA_3,True
2004,PA_4,True
2004,PA_5,True
2004,PA_6,True
2004,PA_7,True
2004,PA_8,True
2004,PA_9,True
2004,TX_1,True
2004,TX_10,True
2004,TX_11,True
2004,TX_12,True
2004,TX_13,True
2004,TX_14,True
2004,TX_15,True
2004,TX_16,True
2004,TX_17,True
2004,TX_18,True
2004,TX_19,True
2004,TX_2,True
2004,TX_20,True
2004,TX_21,True
2004,TX_22,True
2004,TX_23,True
2004,TX_24,True
2004,TX_25,True
2004,TX_26,True
2004,TX_27,True
2004,TX_28,True
2004,TX_29,True
2004,TX_3,True
2004,TX_30,True
2004,TX_31,True
2004,TX_32,True
2004,TX_4,True
2004,TX_5,True
2004,TX_6,True
2004,TX_7,True
2004,TX_8,True
2004,TX_9,True
2006,GA_1,True
2006,GA_10,True
2006,GA_11,True
2006,GA_12,True
2006,GA_13,True
2006,GA_2,True
2006,GA_3,True
2006,GA_4,True
2006,GA_5,True
2006,GA_6,True
2006,GA_7,True
2006,GA_8,True
2006,GA_9,True
2006,TX_1,True
2006,TX_10,True
2006,TX_11,True
2006,TX_12,True
2006,TX_13,True
2006,TX_14,True
2006,TX_15,True
2006,TX_16,True
2006,TX_17,True
2006,TX_18,True
2006,TX_19,True
2006,TX_2,True
2006,TX_20,True
2006,TX_21,True
2006,TX_22,True
2006,TX_23,True
2006,TX_24,True
2006,TX_25,True
2006,TX_26,True
2006,TX_27,True
2006,TX_28,True
2006,TX_29,True
2006,TX_3,True
2006,TX_30,True
2006,TX_31,True
2006,TX_32,True
2006,TX_4,True
2006,TX_5,True
2006,TX_6,True
2006,TX_7,True
2006,TX_8,True
2006,TX_9,True
2012,AL_1,True
2012,AL_2,True
2012,AL_3,True
2012,AL_4,True
2012,AL_5,True
2012,AL_6,True
2012,AL_7,True
2012,AR_1,True
2012,AR_2,True
2012,AR_3,True
2012,AR_4,True
2012,AZ_1,True
2012,AZ_2,True
2012,AZ_3,True
2012,AZ_4,True
2012,AZ_5,True
2012,AZ_6,True
2012,AZ_7,True
2012,AZ_8,True
2012,AZ_9,True
2012,CA_1,True
2012,CA_10,True
2012,CA_11,True
2012,CA_12,True
2012,CA_13,True
2012,CA_14,True
2012,CA_15,True
2012,CA_16,True
2012,CA_17,True
2012,CA_18,True
2012,CA_19,True
2012,CA_2,True
2012,CA_20,True
2012,CA_21,True
2012,CA_22,True
2012,CA_23,True
2012,CA_24,True
2012,CA_25,True
2012,CA_26,True
2012,CA_27,True
2012,CA_28,True
2012,CA_29,True
2012,CA_3,True
2012,CA_30,True
2012,CA_31,True
2012,CA_32,True
2012,CA_33,True
2012,CA_34,True
2012,CA_35,True
2012,CA_36,True
2012,CA_37,True
2012,CA_38,True
2012,CA_39,True
2012,CA_4,True
2012,CA_40,True
2012,CA_41,True
