year,district,mortgage_cost
2015,"Congressional District 1 (114th Congress), Kansas",718
2015,"Congressional District 2 (114th Congress), Kansas",771
2015,"Congressional District 3 (114th Congress), Kansas",1099
2015,"Congressional District 4 (114th Congress), Kansas",799
2015,"Congressional District 1 (114th Congress), Kentucky",593
2015,"Congressional District 2 (114th Congress), Kentucky",715
2015,"Congressional District 3 (114th Congress), Kentucky",856
2015,"Congressional District 4 (114th Congress), Kentucky",864
2015,"Congressional District 5 (114th Congress), Kentucky",484
2015,"Congressional District 6 (114th Congress), Kentucky",813
2015,"Congressional District 1 (114th Congress), Louisiana",903
2015,"Congressional District 2 (114th Congress), Louisiana",837
2015,"Congressional District 3 (114th Congress), Louisiana",662
2015,"Congressional District 4 (114th Congress), Louisiana",660
2015,"Congressional District 5 (114th Congress), Louisiana",579
2015,"Congressional District 6 (114th Congress), Louisiana",907
2015,"Congressional District 1 (114th Congress), Maine",1046
2015,"Congressional District 2 (114th Congress), Maine",746
2015,"Congressional District 1 (114th Congress), Maryland",1198
2015,"Congressional District 2 (114th Congress), Maryland",1250
2015,"Congressional District 3 (114th Congress), Maryland",1521
2015,"Congressional District 4 (114th Congress), Maryland",1511
2015,"Congressional District 5 (114th Congress), Maryland",1727
2015,"Congressional District 6 (114th Congress), Maryland",1416
2015,"Congressional District 7 (114th Congress), Maryland",1171
2015,"Congressional District 8 (114th Congress), Maryland",1744
2015,"Congressional District 1 (114th Congress), Massachusetts",1037
2015,"Congressional District 2 (114th Congress), Massachusetts",1204
2015,"Congressional District 3 (114th Congress), Massachusetts",1364
2015,"Congressional District 4 (114th Congress), Massachusetts",1629
2015,"Congressional District 5 (114th Congress), Massachusetts",1676
2015,"Congressional District 6 (114th Congress), Massachusetts",1572
2015,"Congressional District 7 (114th Congress), Massachusetts",1551
2015,"Congressional District 8 (114th Congress), Massachusetts",1581
2015,"Congressional District 9 (114th Congress), Massachusetts",1268
2015,"Congressional District 1 (114th Congress), Michigan",704
2015,"Congressional District 2 (114th Congress), Michigan",793
2015,"Congressional District 3 (114th Congress), Michigan",851
2015,"Congressional District 4 (114th Congress), Michigan",744
2015,"Congressional District 5 (114th Congress), Michigan",730
2015,"Congressional District 6 (114th Congress), Michigan",775
2015,"Congressional District 7 (114th Congress), Michigan",853
2015,"Congressional District 8 (114th Congress), Michigan",1023
2015,"Congressional District 9 (114th Congress), Michigan",904
2015,"Congressional District 10 (114th Congress), Michigan",902
2015,"Congressional District 11 (114th Congress), Michigan",1152
2015,"Congressional District 12 (114th Congress), Michigan",932
2015,"Congressional District 13 (114th Congress), Michigan",727
