year,district,unemp_rate
2017,"Congressional District 5 (115th Congress), Indiana",3.7
2017,"Congressional District 6 (115th Congress), Indiana",4.2
2017,"Congressional District 7 (115th Congress), Indiana",7.0
2017,"Congressional District 8 (115th Congress), Indiana",4.5
2017,"Congressional District 9 (115th Congress), Indiana",4.6
2017,"Congressional District 1 (115th Congress), Iowa",3.7
2017,"Congressional District 2 (115th Congress), Iowa",4.0
2017,"Congressional District 3 (115th Congress), Iowa",3.4
2017,"Congressional District 4 (115th Congress), Iowa",3.2
2017,"Congressional District 1 (115th Congress), Kansas",3.5
2017,"Congressional District 2 (115th Congress), Kansas",4.2
2017,"Congressional District 3 (115th Congress), Kansas",3.7
2017,"Congressional District 4 (115th Congress), Kansas",5.4
2017,"Congressional District 1 (115th Congress), Kentucky",5.2
2017,"Congressional District 2 (115th Congress), Kentucky",5.2
2017,"Congressional District 3 (115th Congress), Kentucky",5.7
2017,"Congressional District 4 (115th Congress), Kentucky",4.6
2017,"Congressional District 5 (115th Congress), Kentucky",8.4
2017,"Congressional District 6 (115th Congress), Kentucky",5.0
2017,"Congressional District 1 (115th Congress), Louisiana",4.3
2017,"Congressional District 2 (115th Congress), Louisiana",8.9
2017,"Congressional District 3 (115th Congress), Louisiana",6.5
2017,"Congressional District 4 (115th Congress), Louisiana",8.1
2017,"Congressional District 5 (115th Congress), Louisiana",6.8
2017,"Congressional District 6 (115th Congress), Louisiana",5.2
2017,"Congressional District 1 (115th Congress), Maine",3.9
2017,"Congressional District 2 (115th Congress), Maine",4.5
2017,"Congressional District 1 (115th Congress), Maryland",6.0
2017,"Congressional District 2 (115th Congress), Maryland",5.9
2017,"Congressional District 3 (115th Congress), Maryland",4.3
2017,"Congressional District 4 (115th Congress), Maryland",5.9
2017,"Congressional District 5 (115th Congress), Maryland",4.1
2017,"Congressional District 6 (115th Congress), Maryland",5.1
2017,"Congressional District 7 (115th Congress), Maryland",6.2
2017,"Congressional District 8 (115th Congress), Maryland",4.3
2017,"Congressional District 1 (115th Congress), Massachusetts",5.6
2017,"Congressional District 2 (115th Congress), Massachusetts",4.4
2017,"Congressional District 3 (115th Congress), Massachusetts",4.6
2017,"Congressional District 4 (115th Congress), Massachusetts",4.0
2017,"Congressional District 5 (115th Congress), Massachusetts",3.8
2017,"Congressional District 6 (115th Congress), Massachusetts",3.5
2017,"Congressional District 7 (115th Congress), Massachusetts",6.4
2017,"Congressional District 8 (115th Congress), Massachusetts",4.8
2017,"Congressional District 9 (115th Congress), Massachusetts",3.8
2017,"Congressional District 1 (115th Congress), Michigan",5.8
2017,"Congressional District 2 (115th Congress), Michigan",4.4
2017,"Congressional District 3 (115th Congress), Michigan",4.9
2017,"Congressional District 4 (115th Congress), Michigan",5.3
2017,"Congressional District 5 (115th Congress), Michigan",9.7
2017,"Congressional District 6 (115th Congress), Michigan",4.8
2017,"Congressional District 7 (115th Congress), Michigan",4.6
2017,"Congressional District 8 (115th Congress), Michigan",4.6
2017,"Congressional District 9 (115th Congress), Michigan",5.2
2017,"Congressional District 10 (115th Congress), Michigan",4.6
2017,"Congressional District 11 (115th Congress), Michigan",4.1
2017,"Congressional District 12 (115th Congress), Michigan",4.6
2017,"Congressional District 13 (115th Congress), Michigan",12.2
2017,"Congressional District 14 (115th Congress), Michigan",10.0
2017,"Congressional District 1 (115th Congress), Minnesota",3.1
2017,"Congressional District 2 (115th Congress), Minnesota",3.7
2017,"Congressional District 3 (115th Congress), Minnesota",3.0
2017,"Congressional District 4 (115th Congress), Minnesota",4.0
2017,"Congressional District 5 (115th Congress), Minnesota",4.3
2017,"Congressional District 6 (115th Congress), Minnesota",3.1
2017,"Congressional District 7 (115th Congress), Minnesota",2.9
2017,"Congressional District 8 (115th Congress), Minnesota",4.8
2017,"Congressional District 1 (115th Congress), Mississippi",5.6
2017,"Congressional District 2 (115th Congress), Mississippi",8.9
2017,"Congressional District 3 (115th Congress), Mississippi",5.2
2017,"Congressional District 4 (115th Congress), Mississippi",8.6
2017,"Congressional District 1 (115th Congress), Missouri",7.7
2017,"Congressional District 2 (115th Congress), Missouri",2.8
2017,"Congressional District 3 (115th Congress), Missouri",3.9
2017,"Congressional District 4 (115th Congress), Missouri",5.0
2017,"Congressional District 5 (115th Congress), Missouri",4.7
2017,"Congressional District 6 (115th Congress), Missouri",3.4
2017,"Congressional District 7 (115th Congress), Missouri",4.0
2017,"Congressional District 8 (115th Congress), Missouri",6.0
2017,"Congressional District (at Large) (115th Congress), Montana",3.5
2017,"Congressional District 1 (115th Congress), Nebraska",3.6
2017,"Congressional District 2 (115th Congress), Nebraska",3.6
2017,"Congressional District 3 (115th Congress), Nebraska",2.8
2017,"Congressional District 1 (115th Congress), Nevada",7.6
2017,"Congressional District 2 (115th Congress), Nevada",5.1
2017,"Congressional District 3 (115th Congress), Nevada",4.4
2017,"Congressional District 4 (115th Congress), Nevada",6.9
2017,"Congressional District 1 (115th Congress), New Hampshire",3.9
2017,"Congressional District 2 (115th Congress), New Hampshire",3.7
2017,"Congressional District 1 (115th Congress), New Jersey",6.4
2017,"Congressional District 2 (115th Congress), New Jersey",7.7
2017,"Congressional District 3 (115th Congress), New Jersey",5.1
2017,"Congressional District 4 (115th Congress), New Jersey",5.3
2017,"Congressional District 5 (115th Congress), New Jersey",4.2
2017,"Congressional District 6 (115th Congress), New Jersey",4.8
2017,"Congressional District 7 (115th Congress), New Jersey",4.3
2017,"Congressional District 8 (115th Congress), New Jersey",5.0
2017,"Congressional District 9 (115th Congress), New Jersey",4.1
2017,"Congressional District 10 (115th Congress), New Jersey",8.7
2017,"Congressional District 11 (115th Congress), New Jersey",3.9
2017,"Congressional District 12 (115th Congress), New Jersey",4.7
2017,"Congressional District 1 (115th Congress), New Mexico",5.2
2017,"Congressional District 2 (115th Congress), New Mexico",7.3
2017,"Congressional District 3 (115th Congress), New Mexico",7.3
2017,"Congressional District 1 (115th Congress), New York",3.7
2017,"Congressional District 2 (115th Congress), New York",3.9
2017,"Congressional District 3 (115th Congress), New York",3.6
2017,"Congressional District 4 (115th Congress), New York",3.6
2017,"Congressional District 5 (115th Congress), New York",7.1
2017,"Congressional District 6 (115th Congress), New York",3.8
2017,"Congressional District 7 (115th Congress), New York",6.4
2017,"Congressional District 8 (115th Congress), New York",6.6
2017,"Congressional District 9 (115th Congress), New York",7.3
2017,"Congressional District 10 (115th Congress), New York",4.4
2017,"Congressional District 11 (115th Congress), New York",5.0
2017,"Congressional District 12 (115th Congress), New York",3.3
2017,"Congressional District 13 (115th Congress), New York",8.9
2017,"Congressional District 14 (115th Congress), New York",5.3
2017,"Congressional District 15 (115th Congress), New York",13.4
2017,"Congressional District 16 (115th Congress), New York",5.7
2017,"Congressional District 17 (115th Congress), New York",5.1
2017,"Congressional District 18 (115th Congress), New York",4.4
2017,"Congressional District 19 (115th Congress), New York",5.0
2017,"Congressional District 20 (115th Congress), New York",5.7
2017,"Congressional District 21 (115th Congress), New York",5.1
2017,"Congressional District 22 (115th Congress), New York",5.4
2017,"Congressional District 23 (115th Congress), New York",5.2
2017,"Congressional District 24 (115th Congress), New York",5.8
2017,"Congressional District 25 (115th Congress), New York",5.6
2017,"Congressional District 26 (115th Congress), New York",5.5
2017,"Congressional District 27 (115th Congress), New York",3.8
2017,"Congressional District 1 (115th Congress), North Carolina",7.1
2017,"Congressional District 2 (115th Congress), North Carolina",4.8
2017,"Congressional District 3 (115th Congress), North Carolina",7.2
2017,"Congressional District 4 (115th Congress), North Carolina",3.4
2017,"Congressional District 5 (115th Congress), North Carolina",4.6
2017,"Congressional District 6 (115th Congress), North Carolina",5.2
2017,"Congressional District 7 (115th Congress), North Carolina",5.8
2017,"Congressional District 8 (115th Congress), North Carolina",6.6
2017,"Congressional District 9 (115th Congress), North Carolina",4.7
2017,"Congressional District 10 (115th Congress), North Carolina",5.3
2017,"Congressional District 11 (115th Congress), North Carolina",4.2
2017,"Congressional District 12 (115th Congress), North Carolina",4.6
2017,"Congressional District 13 (115th Congress), North Carolina",6.2
2017,"Congressional District (at Large) (115th Congress), North Dakota",2.9
2017,"Congressional District 1 (115th Congress), Ohio",5.0
2017,"Congressional District 2 (115th Congress), Ohio",3.9
