year,district,bach_deg_num,median_HH_income,high_school_num
2012,"Congressional District 2 (113th Congress), Hawaii",77899,27735,149495
2012,"Congressional District 1 (113th Congress), Idaho",84373,22266,152618
2012,"Congressional District 2 (113th Congress), Idaho",90647,22070,127844
2012,"Congressional District 1 (113th Congress), Illinois",74524,25358,132014
2012,"Congressional District 2 (113th Congress), Illinois",61761,23882,135204
2012,"Congressional District 3 (113th Congress), Illinois",74801,27556,143336
2012,"Congressional District 4 (113th Congress), Illinois",57751,21264,118078
2012,"Congressional District 5 (113th Congress), Illinois",156637,36017,97329
2012,"Congressional District 6 (113th Congress), Illinois",153675,38831,88985
2012,"Congressional District 7 (113th Congress), Illinois",102094,26223,112855
2012,"Congressional District 8 (113th Congress), Illinois",107685,30730,122070
2012,"Congressional District 9 (113th Congress), Illinois",141687,30802,86976
2012,"Congressional District 10 (113th Congress), Illinois",116386,30080,99550
2012,"Congressional District 11 (113th Congress), Illinois",101154,30321,107997
2012,"Congressional District 12 (113th Congress), Illinois",65397,23421,153231
2012,"Congressional District 13 (113th Congress), Illinois",78378,23287,144089
2012,"Congressional District 14 (113th Congress), Illinois",114888,36477,110968
2012,"Congressional District 15 (113th Congress), Illinois",58735,24609,172602
2012,"Congressional District 16 (113th Congress), Illinois",63487,26521,167240
2012,"Congressional District 17 (113th Congress), Illinois",53755,23472,170698
2012,"Congressional District 18 (113th Congress), Illinois",101553,29970,149980
2012,"Congressional District 1 (113th Congress), Indiana",66190,25475,177247
2012,"Congressional District 2 (113th Congress), Indiana",61239,23029,171940
2012,"Congressional District 3 (113th Congress), Indiana",67366,25675,163832
2012,"Congressional District 4 (113th Congress), Indiana",68660,24356,173860
2012,"Congressional District 5 (113th Congress), Indiana",130487,31567,117556
2012,"Congressional District 6 (113th Congress), Indiana",54461,23358,196798
2012,"Congressional District 7 (113th Congress), Indiana",69184,22003,149251
2012,"Congressional District 8 (113th Congress), Indiana",57705,23373,187857
2012,"Congressional District 9 (113th Congress), Indiana",67918,24426,172461
2012,"Congressional District 1 (113th Congress), Iowa",88831,27070,174030
2012,"Congressional District 2 (113th Congress), Iowa",87678,25876,162861
2012,"Congressional District 3 (113th Congress), Iowa",116049,30595,146926
2012,"Congressional District 4 (113th Congress), Iowa",75773,24236,173825
2012,"Congressional District 1 (113th Congress), Kansas",67333,24060,138636
2012,"Congressional District 2 (113th Congress), Kansas",76455,24098,150194
2012,"Congressional District 3 (113th Congress), Kansas",135384,32689,90861
2012,"Congressional District 4 (113th Congress), Kansas",83727,25744,129713
2012,"Congressional District 1 (113th Congress), Kentucky",43370,20431,181877
2012,"Congressional District 2 (113th Congress), Kentucky",51557,22054,186210
2012,"Congressional District 3 (113th Congress), Kentucky",89710,25053,141265
2012,"Congressional District 4 (113th Congress), Kentucky",80535,26840,157550
2012,"Congressional District 5 (113th Congress), Kentucky",29086,15953,191628
2012,"Congressional District 6 (113th Congress), Kentucky",84721,23207,142226
2012,"Congressional District 1 (113th Congress), Louisiana",92768,25547,152448
2012,"Congressional District 2 (113th Congress), Louisiana",66405,20298,159365
2012,"Congressional District 3 (113th Congress), Louisiana",64809,22058,182954
2012,"Congressional District 4 (113th Congress), Louisiana",58352,21948,175713
2012,"Congressional District 5 (113th Congress), Louisiana",54603,19593,188601
2012,"Congressional District 6 (113th Congress), Louisiana",96286,27353,170884
2012,"Congressional District 1 (113th Congress), Maine",106882,26741,142504
2012,"Congressional District 2 (113th Congress), Maine",64567,21868,186763
2012,"Congressional District 1 (113th Congress), Maryland",87606,30597,165675
2012,"Congressional District 2 (113th Congress), Maryland",83471,31216,150005
2012,"Congressional District 3 (113th Congress), Maryland",123005,38756,108504
2012,"Congressional District 4 (113th Congress), Maryland",90231,35488,129689
2012,"Congressional District 5 (113th Congress), Maryland",90422,40604,131552
2012,"Congressional District 6 (113th Congress), Maryland",104973,34054,129717
2012,"Congressional District 7 (113th Congress), Maryland",93140,27394,125520
2012,"Congressional District 8 (113th Congress), Maryland",123082,40990,94391
2012,"Congressional District 1 (113th Congress), Massachusetts",85418,25724,153677
2012,"Congressional District 2 (113th Congress), Massachusetts",99405,28111,134809
2012,"Congressional District 3 (113th Congress), Massachusetts",100310,30802,131742
2012,"Congressional District 4 (113th Congress), Massachusetts",120379,36256,105708
2012,"Congressional District 5 (113th Congress), Massachusetts",139938,37220,111155
2012,"Congressional District 6 (113th Congress), Massachusetts",124336,35133,139688
2012,"Congressional District 7 (113th Congress), Massachusetts",98914,23689,119014
2012,"Congressional District 8 (113th Congress), Massachusetts",138409,35579,137929
2012,"Congressional District 9 (113th Congress), Massachusetts",104604,28547,148200
2012,"Congressional District 1 (113th Congress), Michigan",72121,21523,182750
2012,"Congressional District 2 (113th Congress), Michigan",72444,22867,152809
2012,"Congressional District 3 (113th Congress), Michigan",87893,24963,136547
2012,"Congressional District 4 (113th Congress), Michigan",57961,21558,167079
2012,"Congressional District 5 (113th Congress), Michigan",53441,21896,168717
2012,"Congressional District 6 (113th Congress), Michigan",72244,22085,147435
2012,"Congressional District 7 (113th Congress), Michigan",68502,25020,162246
2012,"Congressional District 8 (113th Congress), Michigan",105168,27765,105098
2012,"Congressional District 9 (113th Congress), Michigan",84674,26972,144369
2012,"Congressional District 10 (113th Congress), Michigan",65499,26484,163626
2012,"Congressional District 11 (113th Congress), Michigan",131510,34494,102741
2012,"Congressional District 12 (113th Congress), Michigan",76812,25759,122010
2012,"Congressional District 13 (113th Congress), Michigan",39629,17326,148179
2012,"Congressional District 14 (113th Congress), Michigan",74212,21411,120589
2012,"Congressional District 1 (113th Congress), Minnesota",79918,26967,140921
2012,"Congressional District 2 (113th Congress), Minnesota",117822,35317,106757
2012,"Congressional District 3 (113th Congress), Minnesota",147323,37649,86907
2012,"Congressional District 4 (113th Congress), Minnesota",114157,30691,96865
2012,"Congressional District 5 (113th Congress), Minnesota",127028,28384,88515
2012,"Congressional District 6 (113th Congress), Minnesota",85038,32549,126215
2012,"Congressional District 7 (113th Congress), Minnesota",69278,25707,150635
2012,"Congressional District 8 (113th Congress), Minnesota",67062,24149,155326
2012,"Congressional District 1 (113th Congress), Mississippi",62718,20993,151425
2012,"Congressional District 2 (113th Congress), Mississippi",51939,17228,131694
2012,"Congressional District 3 (113th Congress), Mississippi",74700,21193,147452
2012,"Congressional District 4 (113th Congress), Mississippi",59962,20863,153571
2012,"Congressional District 1 (113th Congress), Missouri",80447,22530,123538
2012,"Congressional District 2 (113th Congress), Missouri",150230,34062,108019
2012,"Congressional District 3 (113th Congress), Missouri",78210,26607,171933
2012,"Congressional District 4 (113th Congress), Missouri",71570,21697,168957
2012,"Congressional District 5 (113th Congress), Missouri",80195,24297,165979
2012,"Congressional District 6 (113th Congress), Missouri",86762,26037,170961
2012,"Congressional District 7 (113th Congress), Missouri",75827,20870,164180
2012,"Congressional District 8 (113th Congress), Missouri",47147,19084,199210
2012,"Congressional District (at Large) (113th Congress), Montana",138862,23536,204215
2012,"Congressional District 1 (113th Congress), Nebraska",74980,26459,107780
2012,"Congressional District 2 (113th Congress), Nebraska",100959,30004,88372
2012,"Congressional District 3 (113th Congress), Nebraska",57115,24186,138198
2012,"Congressional District 1 (113th Congress), Nevada",41040,21885,144413
2012,"Congressional District 2 (113th Congress), Nevada",71351,25963,117219
2012,"Congressional District 3 (113th Congress), Nevada",102489,32413,132671
2012,"Congressional District 4 (113th Congress), Nevada",57966,26292,135232
2012,"Congressional District 1 (113th Congress), New Hampshire",97680,30471,135755
2012,"Congressional District 2 (113th Congress), New Hampshire",104124,30869,134935
2012,"Congressional District 1 (113th Congress), New Jersey",97434,30218,159371
2012,"Congressional District 2 (113th Congress), New Jersey",79148,26476,176179
2012,"Congressional District 3 (113th Congress), New Jersey",109775,33539,174361
2012,"Congressional District 4 (113th Congress), New Jersey",115947,33855,143028
2012,"Congressional District 5 (113th Congress), New Jersey",145243,38988,126580
2012,"Congressional District 6 (113th Congress), New Jersey",113695,32250,136805
2012,"Congressional District 7 (113th Congress), New Jersey",145395,42286,118909
2012,"Congressional District 8 (113th Congress), New Jersey",94328,26766,144930
2012,"Congressional District 9 (113th Congress), New Jersey",104963,30163,156136
2012,"Congressional District 10 (113th Congress), New Jersey",79437,25615,151607
2012,"Congressional District 11 (113th Congress), New Jersey",155214,43591,122152
2012,"Congressional District 12 (113th Congress), New Jersey",119030,32829,127516
2012,"Congressional District 1 (113th Congress), New Mexico",78655,25512,116616
2012,"Congressional District 2 (113th Congress), New Mexico",54479,20130,124562
2012,"Congressional District 3 (113th Congress), New Mexico",69418,23466,119149
2012,"Congressional District 1 (113th Congress), New York",90506,36176,148535
2012,"Congressional District 2 (113th Congress), New York",81947,34515,158571
2012,"Congressional District 3 (113th Congress), New York",135755,40716,105778
2012,"Congressional District 4 (113th Congress), New York",105723,35747,133870
2012,"Congressional District 5 (113th Congress), New York",78638,26227,142978
2012,"Congressional District 6 (113th Congress), New York",117177,29439,131818
2012,"Congressional District 7 (113th Congress), New York",85667,21291,109287
2012,"Congressional District 8 (113th Congress), New York",82529,25430,141605
2012,"Congressional District 9 (113th Congress), New York",98802,27139,140353
2012,"Congressional District 10 (113th Congress), New York",151645,41550,80214
2012,"Congressional District 11 (113th Congress), New York",96574,31172,146050
2012,"Congressional District 12 (113th Congress), New York",216471,57481,56255
2012,"Congressional District 13 (113th Congress), New York",83704,19298,115232
2012,"Congressional District 14 (113th Congress), New York",81688,24203,140919
2012,"Congressional District 15 (113th Congress), New York",36738,15281,111106
2012,"Congressional District 16 (113th Congress), New York",100711,31921,118152
2012,"Congressional District 17 (113th Congress), New York",113261,35093,106663
