year,district,median_age
2010,"Congressional District 6 (111th Congress), Missouri",38.1
2010,"Congressional District 7 (111th Congress), Missouri",37.5
2010,"Congressional District 8 (111th Congress), Missouri",40.0
2010,"Congressional District 9 (111th Congress), Missouri",38.0
2010,"Congressional District (at Large) (111th Congress), Montana",40.1
2010,"Congressional District 1 (111th Congress), Nebraska",36.0
2010,"Congressional District 2 (111th Congress), Nebraska",33.4
2010,"Congressional District 3 (111th Congress), Nebraska",40.5
2010,"Congressional District 1 (111th Congress), Nevada",33.9
2010,"Congressional District 2 (111th Congress), Nevada",39.0
2010,"Congressional District 3 (111th Congress), Nevada",36.4
2010,"Congressional District 1 (111th Congress), New Hampshire",41.4
2010,"Congressional District 2 (111th Congress), New Hampshire",41.1
2010,"Congressional District 1 (111th Congress), New Jersey",37.3
2010,"Congressional District 2 (111th Congress), New Jersey",40.3
2010,"Congressional District 3 (111th Congress), New Jersey",42.9
2010,"Congressional District 4 (111th Congress), New Jersey",39.7
2010,"Congressional District 5 (111th Congress), New Jersey",42.6
2010,"Congressional District 6 (111th Congress), New Jersey",35.7
2010,"Congressional District 7 (111th Congress), New Jersey",41.4
2010,"Congressional District 8 (111th Congress), New Jersey",37.4
2010,"Congressional District 9 (111th Congress), New Jersey",38.8
2010,"Congressional District 10 (111th Congress), New Jersey",34.9
2010,"Congressional District 11 (111th Congress), New Jersey",41.3
2010,"Congressional District 12 (111th Congress), New Jersey",40.7
2010,"Congressional District 13 (111th Congress), New Jersey",33.3
2010,"Congressional District 1 (111th Congress), New Mexico",36.3
2010,"Congressional District 2 (111th Congress), New Mexico",36.7
2010,"Congressional District 3 (111th Congress), New Mexico",37.4
2010,"Congressional District 1 (111th Congress), New York",39.9
2010,"Congressional District 2 (111th Congress), New York",39.6
2010,"Congressional District 3 (111th Congress), New York",42.6
2010,"Congressional District 4 (111th Congress), New York",39.5
2010,"Congressional District 5 (111th Congress), New York",40.0
2010,"Congressional District 6 (111th Congress), New York",36.9
2010,"Congressional District 7 (111th Congress), New York",36.9
2010,"Congressional District 8 (111th Congress), New York",36.7
2010,"Congressional District 9 (111th Congress), New York",40.3
2010,"Congressional District 10 (111th Congress), New York",32.3
2010,"Congressional District 11 (111th Congress), New York",33.9
2010,"Congressional District 12 (111th Congress), New York",32.9
2010,"Congressional District 13 (111th Congress), New York",39.2
2010,"Congressional District 14 (111th Congress), New York",36.0
2010,"Congressional District 15 (111th Congress), New York",34.6
2010,"Congressional District 16 (111th Congress), New York",29.9
2010,"Congressional District 17 (111th Congress), New York",35.6
2010,"Congressional District 18 (111th Congress), New York",40.0
2010,"Congressional District 19 (111th Congress), New York",39.9
2010,"Congressional District 20 (111th Congress), New York",43.0
2010,"Congressional District 21 (111th Congress), New York",38.7
2010,"Congressional District 22 (111th Congress), New York",39.3
2010,"Congressional District 23 (111th Congress), New York",38.3
2010,"Congressional District 24 (111th Congress), New York",40.9
2010,"Congressional District 25 (111th Congress), New York",39.8
2010,"Congressional District 26 (111th Congress), New York",41.2
2010,"Congressional District 27 (111th Congress), New York",41.1
2010,"Congressional District 28 (111th Congress), New York",36.9
2010,"Congressional District 29 (111th Congress), New York",40.7
2010,"Congressional District 1 (111th Congress), North Carolina",39.4
2010,"Congressional District 2 (111th Congress), North Carolina",34.4
2010,"Congressional District 3 (111th Congress), North Carolina",35.1
2010,"Congressional District 4 (111th Congress), North Carolina",35.3
2010,"Congressional District 5 (111th Congress), North Carolina",40.8
2010,"Congressional District 6 (111th Congress), North Carolina",40.2
2010,"Congressional District 7 (111th Congress), North Carolina",38.7
2010,"Congressional District 8 (111th Congress), North Carolina",34.7
2010,"Congressional District 9 (111th Congress), North Carolina",36.6
2010,"Congressional District 10 (111th Congress), North Carolina",40.4
2010,"Congressional District 11 (111th Congress), North Carolina",43.4
2010,"Congressional District 12 (111th Congress), North Carolina",33.2
2010,"Congressional District 13 (111th Congress), North Carolina",35.3
2010,"Congressional District (at Large) (111th Congress), North Dakota",37.4
2010,"Congressional District 1 (111th Congress), Ohio",35.2
2010,"Congressional District 2 (111th Congress), Ohio",39.3
2010,"Congressional District 3 (111th Congress), Ohio",39.4
2010,"Congressional District 4 (111th Congress), Ohio",39.6
2010,"Congressional District 5 (111th Congress), Ohio",39.5
2010,"Congressional District 6 (111th Congress), Ohio",41.5
2010,"Congressional District 7 (111th Congress), Ohio",38.4
2010,"Congressional District 8 (111th Congress), Ohio",37.7
2010,"Congressional District 9 (111th Congress), Ohio",39.2
2010,"Congressional District 10 (111th Congress), Ohio",40.5
2010,"Congressional District 11 (111th Congress), Ohio",38.6
2010,"Congressional District 12 (111th Congress), Ohio",35.9
2010,"Congressional District 13 (111th Congress), Ohio",40.9
2010,"Congressional District 14 (111th Congress), Ohio",42.1
2010,"Congressional District 15 (111th Congress), Ohio",33.3
2010,"Congressional District 16 (111th Congress), Ohio",40.7
2010,"Congressional District 17 (111th Congress), Ohio",40.4
2010,"Congressional District 18 (111th Congress), Ohio",39.6
2010,"Congressional District 1 (111th Congress), Oklahoma",35.9
2010,"Congressional District 2 (111th Congress), Oklahoma",39.6
2010,"Congressional District 3 (111th Congress), Oklahoma",36.8
2010,"Congressional District 4 (111th Congress), Oklahoma",35.5
2010,"Congressional District 5 (111th Congress), Oklahoma",34.1
2010,"Congressional District 1 (111th Congress), Oregon",36.2
2010,"Congressional District 2 (111th Congress), Oregon",41.4
2010,"Congressional District 3 (111th Congress), Oregon",36.3
2010,"Congressional District 4 (111th Congress), Oregon",41.0
2010,"Congressional District 5 (111th Congress), Oregon",38.7
2010,"Congressional District 1 (111th Congress), Pennsylvania",32.6
2010,"Congressional District 2 (111th Congress), Pennsylvania",33.5
2010,"Congressional District 3 (111th Congress), Pennsylvania",40.6
2010,"Congressional District 4 (111th Congress), Pennsylvania",43.7
2010,"Congressional District 5 (111th Congress), Pennsylvania",39.9
2010,"Congressional District 6 (111th Congress), Pennsylvania",39.2
2010,"Congressional District 7 (111th Congress), Pennsylvania",40.0
2010,"Congressional District 8 (111th Congress), Pennsylvania",41.8
2010,"Congressional District 9 (111th Congress), Pennsylvania",41.3
2010,"Congressional District 10 (111th Congress), Pennsylvania",43.0
2010,"Congressional District 11 (111th Congress), Pennsylvania",41.3
2010,"Congressional District 12 (111th Congress), Pennsylvania",43.2
2010,"Congressional District 13 (111th Congress), Pennsylvania",39.7
2010,"Congressional District 14 (111th Congress), Pennsylvania",38.6
2010,"Congressional District 15 (111th Congress), Pennsylvania",40.1
2010,"Congressional District 16 (111th Congress), Pennsylvania",37.3
2010,"Congressional District 17 (111th Congress), Pennsylvania",41.0
2010,"Congressional District 18 (111th Congress), Pennsylvania",44.2
2010,"Congressional District 19 (111th Congress), Pennsylvania",40.4
2010,"Congressional District 1 (111th Congress), Rhode Island",39.8
2010,"Congressional District 2 (111th Congress), Rhode Island",39.5
2010,"Congressional District 1 (111th Congress), South Carolina",37.6
2010,"Congressional District 2 (111th Congress), South Carolina",37.1
2010,"Congressional District 3 (111th Congress), South Carolina",39.6
2010,"Congressional District 4 (111th Congress), South Carolina",37.7
2010,"Congressional District 5 (111th Congress), South Carolina",38.4
2010,"Congressional District 6 (111th Congress), South Carolina",36.7
2010,"Congressional District (at Large) (111th Congress), South Dakota",37.3
2010,"Congressional District 1 (111th Congress), Tennessee",42.0
2010,"Congressional District 2 (111th Congress), Tennessee",39.3
2010,"Congressional District 3 (111th Congress), Tennessee",40.1
2010,"Congressional District 4 (111th Congress), Tennessee",41.4
2010,"Congressional District 5 (111th Congress), Tennessee",34.9
2010,"Congressional District 6 (111th Congress), Tennessee",36.0
2010,"Congressional District 7 (111th Congress), Tennessee",36.7
2010,"Congressional District 8 (111th Congress), Tennessee",38.4
2010,"Congressional District 9 (111th Congress), Tennessee",33.7
2010,"Congressional District 1 (111th Congress), Texas",36.7
2010,"Congressional District 2 (111th Congress), Texas",34.3
2010,"Congressional District 3 (111th Congress), Texas",34.7
2010,"Congressional District 4 (111th Congress), Texas",37.4
2010,"Congressional District 5 (111th Congress), Texas",36.5
2010,"Congressional District 6 (111th Congress), Texas",34.0
2010,"Congressional District 7 (111th Congress), Texas",35.3
2010,"Congressional District 8 (111th Congress), Texas",37.4
2010,"Congressional District 9 (111th Congress), Texas",30.5
2010,"Congressional District 10 (111th Congress), Texas",33.5
2010,"Congressional District 11 (111th Congress), Texas",36.6
2010,"Congressional District 12 (111th Congress), Texas",32.9
2010,"Congressional District 13 (111th Congress), Texas",36.1
2010,"Congressional District 14 (111th Congress), Texas",37.0
2010,"Congressional District 15 (111th Congress), Texas",31.9
2010,"Congressional District 16 (111th Congress), Texas",32.1
2010,"Congressional District 17 (111th Congress), Texas",32.4
2010,"Congressional District 18 (111th Congress), Texas",31.5
2010,"Congressional District 19 (111th Congress), Texas",33.2
2010,"Congressional District 20 (111th Congress), Texas",31.5
2010,"Congressional District 21 (111th Congress), Texas",37.3
2010,"Congressional District 22 (111th Congress), Texas",34.8
2010,"Congressional District 23 (111th Congress), Texas",33.0
2010,"Congressional District 24 (111th Congress), Texas",34.2
2010,"Congressional District 25 (111th Congress), Texas",32.4
2010,"Congressional District 26 (111th Congress), Texas",33.9
2010,"Congressional District 27 (111th Congress), Texas",32.1
2010,"Congressional District 28 (111th Congress), Texas",30.1
2010,"Congressional District 29 (111th Congress), Texas",28.7
2010,"Congressional District 30 (111th Congress), Texas",32.0
2010,"Congressional District 31 (111th Congress), Texas",32.3
2010,"Congressional District 32 (111th Congress), Texas",31.9
2010,"Congressional District 1 (111th Congress), Utah",29.6
2010,"Congressional District 2 (111th Congress), Utah",31.4
2010,"Congressional District 3 (111th Congress), Utah",26.9
2010,"Congressional District (at Large) (111th Congress), Vermont",41.5
2010,"Congressional District 1 (111th Congress), Virginia",37.9
2010,"Congressional District 2 (111th Congress), Virginia",34.7
2010,"Congressional District 3 (111th Congress), Virginia",32.8
2010,"Congressional District 4 (111th Congress), Virginia",38.5
2010,"Congressional District 5 (111th Congress), Virginia",41.5
2010,"Congressional District 6 (111th Congress), Virginia",40.0
2010,"Congressional District 7 (111th Congress), Virginia",39.3
2010,"Congressional District 8 (111th Congress), Virginia",35.3
2010,"Congressional District 9 (111th Congress), Virginia",40.4
2010,"Congressional District 10 (111th Congress), Virginia",36.1
2010,"Congressional District 11 (111th Congress), Virginia",36.6
2010,"Congressional District 1 (111th Congress), Washington",38.4
2010,"Congressional District 2 (111th Congress), Washington",38.2
2010,"Congressional District 3 (111th Congress), Washington",38.4
2010,"Congressional District 4 (111th Congress), Washington",33.1
2010,"Congressional District 5 (111th Congress), Washington",37.4
2010,"Congressional District 6 (111th Congress), Washington",40.4
2010,"Congressional District 7 (111th Congress), Washington",36.2
2010,"Congressional District 8 (111th Congress), Washington",36.9
2010,"Congressional District 9 (111th Congress), Washington",36.2
2010,"Congressional District 1 (111th Congress), West Virginia",40.9
2010,"Congressional District 2 (111th Congress), West Virginia",41.2
2010,"Congressional District 3 (111th Congress), West Virginia",41.7
2010,"Congressional District 1 (111th Congress), Wisconsin",38.6
2010,"Congressional District 2 (111th Congress), Wisconsin",36.4
2010,"Congressional District 3 (111th Congress), Wisconsin",37.8
2010,"Congressional District 4 (111th Congress), Wisconsin",31.0
2010,"Congressional District 5 (111th Congress), Wisconsin",41.7
2010,"Congressional District 6 (111th Congress), Wisconsin",40.7
2010,"Congressional District 7 (111th Congress), Wisconsin",42.0
2010,"Congressional District 8 (111th Congress), Wisconsin",40.1
2010,"Congressional District (at Large) (111th Congress), Wyoming",36.7
2010,"Resident Commissioner District (at Large) (111th Congress), Puerto Rico",37.2
