year,district,bach_deg_num,high_school_num,median_HH_income
2017,"Congressional District 23 (115th Congress), New York",64963,159071,25297
2017,"Congressional District 24 (115th Congress), New York",85437,139190,30170
2017,"Congressional District 25 (115th Congress), New York",99490,121824,30130
2017,"Congressional District 26 (115th Congress), New York",91198,138381,27357
2017,"Congressional District 27 (115th Congress), New York",92002,158125,32084
2017,"Congressional District 1 (115th Congress), North Carolina",89398,144632,24656
2017,"Congressional District 2 (115th Congress), North Carolina",132615,131365,32123
2017,"Congressional District 3 (115th Congress), North Carolina",79128,139052,25878
2017,"Congressional District 4 (115th Congress), North Carolina",177115,82937,36653
2017,"Congressional District 5 (115th Congress), North Carolina",92086,145161,25731
2017,"Congressional District 6 (115th Congress), North Carolina",85132,154153,27045
2017,"Congressional District 7 (115th Congress), North Carolina",99164,158221,25798
2017,"Congressional District 8 (115th Congress), North Carolina",95014,140980,26960
2017,"Congressional District 9 (115th Congress), North Carolina",115000,131145,29970
2017,"Congressional District 10 (115th Congress), North Carolina",84271,161895,25312
2017,"Congressional District 11 (115th Congress), North Carolina",92536,157609,24363
2017,"Congressional District 12 (115th Congress), North Carolina",161265,109615,31951
2017,"Congressional District 13 (115th Congress), North Carolina",104015,143790,26929
2017,"Congressional District (at Large) (115th Congress), North Dakota",108045,130900,33648
2017,"Congressional District 1 (115th Congress), Ohio",107387,140066,31069
2017,"Congressional District 2 (115th Congress), Ohio",93316,161287,30863
2017,"Congressional District 3 (115th Congress), Ohio",91865,154272,26270
2017,"Congressional District 4 (115th Congress), Ohio",58661,198983,27737
2017,"Congressional District 5 (115th Congress), Ohio",79498,170967,29833
2017,"Congressional District 6 (115th Congress), Ohio",49448,217743,25091
2017,"Congressional District 7 (115th Congress), Ohio",65296,200143,27897
2017,"Congressional District 8 (115th Congress), Ohio",73489,182648,29896
2017,"Congressional District 9 (115th Congress), Ohio",70240,162215,25551
2017,"Congressional District 10 (115th Congress), Ohio",85014,135686,27627
2017,"Congressional District 11 (115th Congress), Ohio",68882,136087,22798
2017,"Congressional District 12 (115th Congress), Ohio",140576,134552,34013
2017,"Congressional District 13 (115th Congress), Ohio",75506,199288,25430
