,district,party,votes,year
348,KY-02,GOP,171700,2018
349,KY-02,Dem,79994,2018
350,KY-02,,5681,2018
351,KY-03,Dem,172999,2018
352,KY-03,GOP,101929,2018
353,KY-03,,3788,2018
354,KY-04,GOP,162943,2018
355,KY-04,Dem,90533,2018
356,KY-04,,8318,2018
357,KY-05,GOP,172359,2018
358,KY-05,Dem,45965,2018
359,KY-06,GOP,154468,2018
360,KY-06,Dem,144730,2018
361,KY-06,,3684,2018
362,LA-01,GOP,192526,2018
363,LA-01,Dem,44262,2018
364,LA-01,Dem,18552,2018
365,LA-01,Dem,8685,2018
366,LA-01,,5248,2018
367,LA-02,Dem,190066,2018
368,LA-02,,20463,2018
369,LA-02,Indp,17255,2018
370,LA-02,,8070,2018
371,LA-03,GOP,136871,2018
372,LA-03,Dem,43727,2018
373,LA-03,GOP,31387,2018
374,LA-03,Dem,13477,2018
375,LA-03,Dem,9692,2018
376,LA-03,Dem,7814,2018
377,LA-03,,2967,2018
378,LA-04,GOP,139307,2018
379,LA-04,Dem,72923,2018
380,LA-04,,4612,2018
381,LA-05,GOP,149010,2018
382,LA-05,Dem,67113,2018
383,LA-05,,7810,2018
384,LA-06,GOP,186502,2018
385,LA-06,Dem,55078,2018
386,LA-06,Dem,21619,2018
387,LA-06,,5254,2018
388,ME-01,Dem,190348,2018
389,ME-01,GOP,103185,2018
390,ME-01,Indp,28242,2018
391,ME-02,GOP,120214,2018
392,ME-02,Dem,120030,2018
393,ME-02,Indp,14938,2018
394,ME-02,,6180,2018
395,MD-01,GOP,176595,2018
396,MD-01,Dem,109617,2018
397,MD-01,,5420,2018
398,MD-02,Dem,157764,2018
399,MD-02,GOP,74493,2018
400,MD-02,,7631,2018
401,MD-03,Dem,186207,2018
402,MD-03,GOP,78167,2018
403,MD-03,,6926,2018
404,MD-04,Dem,194129,2018
405,MD-04,GOP,50292,2018
406,MD-04,,4940,2018
407,MD-05,Dem,200425,2018
408,MD-05,GOP,78117,2018
409,MD-05,,7014,2018
410,MD-06,Dem,142656,2018
411,MD-06,GOP,97330,2018
412,MD-06,,7343,2018
413,MD-07,Dem,187462,2018
414,MD-07,GOP,53615,2018
415,MD-07,,5435,2018
416,MD-08,Dem,190973,2018
417,MD-08,GOP,90193,2018
418,MD-08,,4466,2018
419,MA-02,Dem,173594,2018
420,MA-02,GOP,83352,2018
421,MA-03,Dem,171303,2018
422,MA-03,GOP,92744,2018
423,MA-03,,12473,2018
424,MA-05,Dem,223027,2018
425,MA-05,GOP,70615,2018
426,MA-06,Dem,209876,2018
427,MA-06,GOP,100233,2018
428,MA-06,,10840,2018
429,MA-09,Dem,175967,2018
430,MA-09,GOP,120663,2018
431,MI-01,GOP,185752,2018
432,MI-01,Dem,144203,2018
433,MI-02,GOP,168843,2018
434,MI-02,Dem,131195,2018
435,MI-02,,5226,2018
436,MI-03,GOP,162038,2018
437,MI-03,Dem,124981,2018
438,MI-03,,7163,2018
439,MI-04,GOP,178511,2018
440,MI-04,Dem,106539,2018
441,MI-05,Dem,164521,2018
442,MI-05,GOP,99269,2018
443,MI-05,,12645,2018
444,MI-06,GOP,147437,2018
445,MI-06,Dem,134069,2018
446,MI-06,,11923,2018
447,MI-07,GOP,158885,2018
448,MI-07,Dem,136410,2018
449,MI-08,Dem,172878,2018
450,MI-08,GOP,159804,2018
451,MI-08,,8928,2018
452,MI-09,Dem,181844,2018
453,MI-09,GOP,112309,2018
454,MI-09,,10865,2018
455,MI-10,GOP,182870,2018
456,MI-10,Dem,106098,2018
457,MI-10,,14272,2018
458,MI-11,Dem,179976,2018
459,MI-11,GOP,155331,2018
460,MI-11,,10450,2018
461,MI-12,Dem,177970,2018
462,MI-12,GOP,73407,2018
463,MI-12,,7678,2018
464,MI-13,Dem,137495,2018
465,MI-13,,18130,2018
466,MI-13,,6555,2018
467,MI-14,Dem,202173,2018
468,MI-14,GOP,37547,2018
469,MI-14,,4497,2018
470,MN-01,GOP,146202,2018
471,MN-01,Dem,144891,2018
472,MN-02,Dem,177971,2018
473,MN-02,GOP,159373,2018
474,MN-03,Dem,202402,2018
475,MN-03,GOP,160838,2018
476,MN-04,Dem,216740,2018
477,MN-04,GOP,97723,2018
478,MN-04,,13772,2018
479,MN-05,Dem,267690,2018
480,MN-05,GOP,74437,2018
481,MN-06,GOP,192946,2018
482,MN-06,Dem,122333,2018
483,MN-07,Dem,146669,2018
484,MN-07,GOP,134662,2018
485,MN-08,GOP,159388,2018
486,MN-08,Dem,141972,2018
487,MN-08,,12768,2018
488,MS-01,GOP,154447,2018
489,MS-01,Dem,74241,2018
490,MS-01,,1611,2018
491,MS-02,Dem,148977,2018
492,MS-02,Indp,44921,2018
493,MS-02,,13398,2018
494,MS-03,GOP,155840,2018
495,MS-03,Dem,90193,2018
496,MS-03,,2427,2018
497,MS-04,GOP,133805,2018
498,MS-04,Dem,56371,2018
499,MS-04,,2014,2018
500,MO-01,Dem,216479,2018
