,district,party,votes,year
842,TX-01,,3278,2018
843,TX-02,GOP,138502,2018
844,TX-02,Dem,118570,2018
845,TX-02,,4183,2018
846,TX-03,GOP,168775,2018
847,TX-03,Dem,137547,2018
848,TX-03,,4595,2018
849,TX-04,GOP,188003,2018
850,TX-04,Dem,57209,2018
851,TX-04,,3161,2018
852,TX-05,GOP,130404,2018
853,TX-05,Dem,78394,2018
854,TX-06,GOP,135779,2018
855,TX-06,Dem,116040,2018
856,TX-06,,3724,2018
857,TX-07,Dem,126168,2018
858,TX-07,GOP,114859,2018
859,TX-08,GOP,198241,2018
860,TX-08,Dem,67027,2018
861,TX-08,,4597,2018
862,TX-09,Dem,135427,2018
863,TX-09,,16643,2018
864,TX-10,GOP,154652,2018
865,TX-10,Dem,142511,2018
866,TX-10,,6569,2018
867,TX-11,GOP,174749,2018
868,TX-11,Dem,40028,2018
869,TX-11,,3106,2018
870,TX-12,GOP,172205,2018
871,TX-12,Dem,90676,2018
872,TX-12,,4926,2018
873,TX-13,GOP,162317,2018
874,TX-13,Dem,33956,2018
875,TX-13,,3044,2018
876,TX-14,GOP,137582,2018
877,TX-14,Dem,90937,2018
878,TX-14,,3354,2018
879,TX-15,Dem,97991,2018
880,TX-15,GOP,62867,2018
881,TX-15,,2593,2018
882,TX-16,Dem,122676,2018
883,TX-16,GOP,48495,2018
884,TX-16,,8079,2018
885,TX-17,GOP,130751,2018
886,TX-17,Dem,96655,2018
887,TX-17,,4358,2018
888,TX-18,Dem,137567,2018
889,TX-18,GOP,38081,2018
890,TX-18,,7196,2018
891,TX-19,GOP,152012,2018
892,TX-19,Dem,49941,2018
893,TX-20,Dem,138249,2018
894,TX-20,Libt,32727,2018
895,TX-21,GOP,176913,2018
896,TX-21,Dem,167020,2018
897,TX-21,,7497,2018
898,TX-22,GOP,152318,2018
899,TX-22,Dem,137500,2018
900,TX-22,,6488,2018
901,TX-23,GOP,102903,2018
902,TX-23,Dem,102214,2018
903,TX-23,,4402,2018
904,TX-24,GOP,132992,2018
905,TX-24,Dem,124580,2018
906,TX-24,,4861,2018
907,TX-25,GOP,162288,2018
908,TX-25,Dem,135288,2018
909,TX-25,,5124,2018
910,TX-26,GOP,185268,2018
911,TX-26,Dem,121584,2018
912,TX-26,,5008,2018
913,TX-27,GOP,124958,2018
914,TX-27,Dem,75761,2018
915,TX-27,,6360,2018
916,TX-28,Dem,117178,2018
917,TX-28,Libt,21647,2018
918,TX-29,Dem,87679,2018
919,TX-29,GOP,27945,2018
920,TX-29,,1187,2018
921,TX-30,Dem,166102,2018
922,TX-30,Libt,16318,2018
923,TX-31,GOP,143330,2018
924,TX-31,Dem,134675,2018
925,TX-31,,4936,2018
926,TX-32,Dem,142885,2018
927,TX-32,GOP,125600,2018
928,TX-32,,5424,2018
929,TX-33,Dem,90311,2018
930,TX-33,GOP,26007,2018
931,TX-33,,2291,2018
932,TX-34,Dem,85647,2018
933,TX-34,GOP,57157,2018
934,TX-35,Dem,137325,2018
935,TX-35,GOP,50276,2018
936,TX-35,,5215,2018
937,TX-36,GOP,160592,2018
938,TX-36,Dem,60486,2018
939,UT-01,GOP,124377,2018
940,UT-01,Dem,48372,2018
941,UT-01,,21872,2018
942,UT-01,,3403,2018
943,UT-02,GOP,122540,2018
944,UT-02,Dem,79510,2018
945,UT-02,,9488,2018
946,UT-03,GOP,108476,2018
947,UT-03,Dem,46477,2018
948,UT-03,,7151,2018
949,UT-04,Dem,93994,2018
950,UT-04,GOP,89280,2018
951,VT-00,Dem,188146,2018
952,VT-00,GOP,70490,2018
953,VT-00,,12967,2018
954,VA-01,GOP,179296,2018
955,VA-01,Dem,142508,2018
956,VA-02,Dem,139328,2018
957,VA-02,GOP,133319,2018
958,VA-04,Dem,184250,2018
959,VA-04,GOP,105446,2018
960,VA-04,,4121,2018
961,VA-05,GOP,165107,2018
962,VA-05,Dem,144493,2018
963,VA-06,GOP,168334,2018
964,VA-06,Dem,112438,2018
965,VA-07,Dem,170737,2018
966,VA-07,GOP,165962,2018
967,VA-07,,4135,2018
968,VA-08,Dem,246831,2018
969,VA-08,GOP,76492,2018
970,VA-09,GOP,160888,2018
971,VA-09,Dem,85658,2018
972,VA-10,Dem,202557,2018
973,VA-10,GOP,157561,2018
974,VA-11,Dem,213587,2018
975,VA-11,GOP,81375,2018
976,VA-11,,5395,2018
977,WA-01,Dem,129442,2018
978,WA-01,GOP,91454,2018
979,WA-02,Dem,135831,2018
980,WA-02,Libt,51709,2018
981,WA-03,GOP,115616,2018
982,WA-03,Dem,105654,2018
983,WA-04,GOP,85149,2018
984,WA-04,Dem,45040,2018
985,WA-05,GOP,103238,2018
986,WA-05,Dem,81295,2018
987,WA-06,Dem,124292,2018
988,WA-06,GOP,73561,2018
989,WA-07,Dem,224351,2018
990,WA-07,GOP,44732,2018
991,WA-08,Dem,104520,2018
992,WA-08,GOP,92900,2018
993,WA-09,Dem,111449,2018
994,WA-09,Dem,47502,2018
995,WA-10,Dem,89137,2018
996,WA-10,GOP,57272,2018
997,WV-01,GOP,128725,2018
998,WV-01,Dem,70402,2018
999,WV-02,GOP,109018,2018
1000,WV-02,Dem,86678,2018
1001,WV-02,,6213,2018
1002,WV-03,GOP,98048,2018
1003,WV-03,Dem,75776,2018
1004,WI-01,GOP,177490,2018
1005,WI-01,Dem,137507,2018
1006,WI-01,,10006,2018
1007,WI-03,Dem,187615,2018
1008,WI-03,GOP,126897,2018
1009,WI-04,Dem,208127,2018
1010,WI-04,GOP,60240,2018
1011,WI-04,,7228,2018
1012,WI-05,GOP,223989,2018
1013,WI-05,Dem,136995,2018
1014,WI-06,GOP,180314,2018
1015,WI-06,Dem,144530,2018
1016,WI-07,GOP,193126,2018
1017,WI-07,Dem,123548,2018
1018,WI-07,,4372,2018
1019,WI-08,GOP,209400,2018
1020,WI-08,Dem,119263,2018
1021,WY-00,GOP,127882,2018
1022,WY-00,Dem,59929,2018
1023,WY-00,,13078,2018
