dist_id,pty,cv1,yr
NJ_3,R,136408,2018
NJ_4,R,156271,2018
NJ_5,R,116505,2018
NJ_6,R,72337,2018
NJ_7,R,131935,2018
NJ_8,R,25621,2018
NJ_9,R,50499,2018
NJ_10,R,18301,2018
NJ_11,R,118547,2018
NJ_12,R,67389,2018
NM_1,R,89062,2018
NM_2,R,94431,2018
NM_3,R,76043,2018
NY_1,R,130919,2018
NY_2,R,122103,2018
NY_3,R,103278,2018
NY_4,R,95187,2018
NY_9,R,19336,2018
NY_10,R,33931,2018
NY_11,R,84665,2018
NY_12,R,27838,2018
NY_13,R,9525,2018
NY_14,R,17762,2018
NY_15,R,4647,2018
NY_18,R,96594,2018
NY_19,R,117029,2018
NY_20,R,83788,2018
NY_21,R,122863,2018
NY_22,R,116357,2018
NY_23,R,122881,2018
NY_24,R,129276,2018
NY_25,R,105925,2018
NY_26,R,58128,2018
NY_27,R,132402,2018
NC_1,R,81474,2018
NC_2,R,166035,2018
NC_4,R,80546,2018
NC_5,R,158444,2018
NC_6,R,159651,2018
NC_7,R,155705,2018
NC_8,R,140347,2018
NC_9,R,138338,2018
NC_10,R,164060,2018
NC_11,R,177143,2018
NC_12,R,74639,2018
NC_13,R,145962,2018
ND_1,R,192733,2018
OH_1,R,151107,2018
OH_2,R,163450,2018
OH_3,R,63470,2018
OH_4,R,164640,2018
OH_5,R,173894,2018
OH_6,R,169668,2018
OH_7,R,150317,2018
OH_8,R,170561,2018
OH_9,R,73183,2018
OH_10,R,153640,2018
OH_11,R,43443,2018
OH_12,R,171757,2018
OH_13,R,96225,2018
OH_14,R,166483,2018
OH_15,R,166632,2018
OH_16,R,166933,2018
OK_1,R,149938,2018
OK_2,R,140305,2018
OK_3,R,172757,2018
OK_4,R,149127,2018
OK_5,R,117725,2018
OR_1,R,94784,2018
OR_2,R,203216,2018
OR_3,R,68105,2018
OR_4,R,149616,2018
OR_5,R,134720,2018
PA_1,R,168841,2018
PA_2,R,41472,2018
PA_3,R,19550,2018
PA_4,R,121117,2018
PA_5,R,101861,2018
PA_6,R,122896,2018
PA_7,R,111862,2018
PA_8,R,111640,2018
PA_9,R,146675,2018
PA_10,R,148790,2018
PA_11,R,162227,2018
PA_12,R,159251,2018
PA_13,R,175046,2018
PA_14,R,149147,2018
PA_15,R,161990,2018
PA_16,R,130580,2018
PA_17,R,137906,2018
RI_1,R,57115,2018
RI_2,R,71716,2018
SC_1,R,140792,2018
SC_2,R,141577,2018
SC_3,R,152417,2018
SC_4,R,144990,2018
SC_5,R,140417,2018
SC_6,R,56377,2018
SC_7,R,140938,2018
SD_1,R,202673,2018
TN_1,R,172708,2018
TN_2,R,171994,2018
TN_3,R,156385,2018
TN_4,R,147196,2018
TN_5,R,84196,2018
TN_6,R,172682,2018
TN_7,R,169769,2018
TN_8,R,166400,2018
TN_9,R,34710,2018
TX_1,R,167734,2018
TX_2,R,138502,2018
TX_3,R,168775,2018
TX_4,R,188003,2018
TX_5,R,130404,2018
TX_6,R,135779,2018
TX_7,R,114859,2018
TX_8,R,198241,2018
TX_10,R,154652,2018
TX_11,R,174749,2018
TX_12,R,172205,2018
TX_13,R,162317,2018
TX_14,R,137582,2018
TX_15,R,62867,2018
TX_16,R,48495,2018
TX_17,R,130751,2018
TX_18,R,38081,2018
TX_19,R,152012,2018
TX_21,R,176913,2018
TX_22,R,152318,2018
TX_23,R,102903,2018
TX_24,R,132992,2018
TX_25,R,162288,2018
TX_26,R,185268,2018
TX_27,R,124958,2018
TX_29,R,27945,2018
TX_31,R,143330,2018
TX_32,R,125600,2018
TX_33,R,26007,2018
TX_34,R,57157,2018
TX_35,R,50276,2018
TX_36,R,160592,2018
UT_1,R,124377,2018
UT_2,R,122540,2018
UT_3,R,108476,2018
UT_4,R,89280,2018
VT_1,R,70490,2018
VA_1,R,179296,2018
VA_2,R,133319,2018
VA_4,R,105446,2018
VA_5,R,165107,2018
VA_6,R,168334,2018
VA_7,R,165962,2018
VA_8,R,76492,2018
VA_9,R,160888,2018
VA_10,R,157561,2018
VA_11,R,81375,2018
WA_1,R,91454,2018
WA_3,R,115616,2018
WA_4,R,85149,2018
WA_5,R,103238,2018
WA_6,R,73561,2018
WA_7,R,44732,2018
WA_8,R,92900,2018
WA_10,R,57272,2018
WV_1,R,128725,2018
WV_2,R,109018,2018
WV_3,R,98048,2018
WI_1,R,177490,2018
WI_3,R,126897,2018
WI_4,R,60240,2018
WI_5,R,223989,2018
WI_6,R,180314,2018
WI_7,R,193126,2018
WI_8,R,209400,2018
WY_1,R,127882,2018
WI_2,D,1,2018
AL_7,D,1,2018
FL_10,D,1,2018
FL_14,D,1,2018
FL_20,D,1,2018
FL_21,D,1,2018
FL_24,D,1,2018
GA_5,D,1,2018
GA_8,R,197401,2018
MA_1,D,1,2018
MA_4,D,1,2018
MA_7,D,1,2018
MA_8,D,1,2018
NC_3,R,1,2018
NY_16,D,1,2018
NY_5,D,1,2018
PA_18,D,1,2018
VA_3,D,1,2018
