year,district,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2009,"Congressional District 5 (111th Congress), Florida",823,45.2,83910.0,21312.0,247736.0,13.9
2009,"Congressional District 6 (111th Congress), Florida",887,38.3,78940.0,23347.0,163769.0,10.3
2009,"Congressional District 7 (111th Congress), Florida",1075,41.5,102026.0,23895.0,158321.0,10.6
2009,"Congressional District 8 (111th Congress), Florida",1110,36.7,103940.0,24122.0,158815.0,11.1
2009,"Congressional District 9 (111th Congress), Florida",1056,41.6,94828.0,25753.0,158310.0,10.5
2009,"Congressional District 10 (111th Congress), Florida",948,45.7,77530.0,25024.0,150771.0,10.4
2009,"Congressional District 11 (111th Congress), Florida",958,35.0,69005.0,21367.0,140180.0,14.4
2009,"Congressional District 12 (111th Congress), Florida",896,37.6,69745.0,22373.0,180798.0,11.9
2009,"Congressional District 13 (111th Congress), Florida",984,48.0,91457.0,24016.0,176426.0,13.2
2009,"Congressional District 14 (111th Congress), Florida",1052,47.0,106150.0,25238.0,192503.0,13.4
2009,"Congressional District 15 (111th Congress), Florida",999,42.5,85824.0,23210.0,170986.0,13.0
2009,"Congressional District 16 (111th Congress), Florida",983,44.5,78895.0,22856.0,169900.0,14.4
2009,"Congressional District 17 (111th Congress), Florida",1025,33.2,44208.0,18667.0,138198.0,15.6
2009,"Congressional District 18 (111th Congress), Florida",1148,40.0,90732.0,19409.0,132446.0,8.6
2009,"Congressional District 19 (111th Congress), Florida",1151,45.4,100521.0,24927.0,153449.0,11.7
2009,"Congressional District 20 (111th Congress), Florida",1400,40.9,99379.0,29127.0,124983.0,10.5
2009,"Congressional District 21 (111th Congress), Florida",1225,39.2,80292.0,20363.0,123627.0,11.4
2009,"Congressional District 22 (111th Congress), Florida",1379,44.6,124456.0,29273.0,129138.0,10.3
2009,"Congressional District 23 (111th Congress), Florida",1085,34.4,50364.0,19110.0,140429.0,16.0
2009,"Congressional District 24 (111th Congress), Florida",1134,38.7,97278.0,26209.0,148394.0,10.2
2009,"Congressional District 25 (111th Congress), Florida",1421,36.0,83968.0,22666.0,144595.0,10.6
2009,"Congressional District 1 (111th Congress), Georgia",722,34.4,53155.0,21444.0,146601.0,10.7
2009,"Congressional District 2 (111th Congress), Georgia",633,34.4,34698.0,17803.0,134457.0,12.4
