year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2015,"Congressional District (at Large) (114th Congress), Delaware",203863,945934,654904,1098,39.7,117581.0,194810.0,31251.0,5.8
2015,"Delegate District (at Large) (114th Congress), District of Columbia",318831,672228,269143,1577,33.8,112629.0,82181.0,41724.0,7.3
2015,"Congressional District 1 (114th Congress), Florida",98282,750928,578965,931,38.5,91341.0,138902.0,26234.0,7.3
2015,"Congressional District 2 (114th Congress), Florida",179656,718173,497970,838,36.5,75558.0,141009.0,23350.0,8.3
2015,"Congressional District 3 (114th Congress), Florida",98797,721105,569233,807,37.9,73381.0,151293.0,24522.0,8.2
2015,"Congressional District 4 (114th Congress), Florida",111259,740304,560400,1081,38.1,109884.0,141043.0,30573.0,5.2
2015,"Congressional District 5 (114th Congress), Florida",368715,743735,308372,862,34.1,60275.0,155909.0,20519.0,10.4
2015,"Congressional District 6 (114th Congress), Florida",72872,755981,640474,896,46.9,105938.0,167090.0,25245.0,6.7
2015,"Congressional District 7 (114th Congress), Florida",75365,738367,595784,1097,38.7,118338.0,124437.0,28376.0,6.5
2015,"Congressional District 8 (114th Congress), Florida",70812,730746,614485,881,48.3,89222.0,166723.0,25814.0,6.8
2015,"Congressional District 9 (114th Congress), Florida",94057,819676,601994,1079,35.5,93651.0,163959.0,22736.0,6.1
2015,"Congressional District 10 (114th Congress), Florida",98446,788192,593355,1031,39.9,112735.0,155704.0,26795.0,5.7
2015,"Congressional District 11 (114th Congress), Florida",60233,740907,646528,664,53.5,77331.0,213800.0,23048.0,9.3
2015,"Congressional District 12 (114th Congress), Florida",39321,747779,657150,941,45.0,99759.0,155315.0,26860.0,6.3
2015,"Congressional District 13 (114th Congress), Florida",39078,716429,621423,947,48.3,103939.0,164841.0,26714.0,5.3
2015,"Congressional District 14 (114th Congress), Florida",202068,765377,474125,961,36.1,95250.0,146868.0,24464.0,8.3
2015,"Congressional District 15 (114th Congress), Florida",95083,728456,551041,936,37.7,94532.0,141308.0,26852.0,6.6
2015,"Congressional District 16 (114th Congress), Florida",53291,764808,681130,956,51.9,110827.0,180226.0,27569.0,6.5
2015,"Congressional District 17 (114th Congress), Florida",73127,747648,617462,751,47.8,64642.0,201574.0,22971.0,7.4
2015,"Congressional District 18 (114th Congress), Florida",98076,748028,599554,1062,46.9,107642.0,155736.0,28079.0,5.7
2015,"Congressional District 19 (114th Congress), Florida",61935,774346,670977,996,50.3,110261.0,167551.0,26838.0,6.4
2015,"Congressional District 20 (114th Congress), Florida",412471,767766,297989,1057,36.8,70187.0,173748.0,20801.0,11.7
2015,"Congressional District 21 (114th Congress), Florida",103698,758192,586580,1231,43.7,129444.0,129317.0,30521.0,6.6
2015,"Congressional District 22 (114th Congress), Florida",83628,730302,581635,1270,46.1,136339.0,122688.0,30482.0,6.5
2015,"Congressional District 23 (114th Congress), Florida",86316,734951,554927,1350,41.7,128869.0,131054.0,28037.0,5.8
2015,"Congressional District 24 (114th Congress), Florida",411387,745862,279976,1109,36.5,69731.0,143341.0,21103.0,9.4
2015,"Congressional District 25 (114th Congress), Florida",47655,765164,666788,1190,40.7,94415.0,157916.0,21851.0,5.6
2015,"Congressional District 26 (114th Congress), Florida",80138,776959,661991,1323,39.8,98584.0,155736.0,23927.0,5.4
2015,"Congressional District 27 (114th Congress), Florida",65012,751091,647066,1177,41.1,98264.0,154791.0,21057.0,6.2
2015,"Congressional District 1 (114th Congress), Georgia",213001,724348,459698,906,35.7,72119.0,143579.0,24565.0,8.0
2015,"Congressional District 2 (114th Congress), Georgia",359884,683888,289007,699,36.2,48044.0,153263.0,19733.0,11.3
2015,"Congressional District 3 (114th Congress), Georgia",174576,723259,507685,930,37.8,79902.0,151414.0,26030.0,8.0
