year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2006,"Congressional District 41 (109th Congress), California",44311,770206,551733,1073,33.2,55172.0,22643.0,141328.0,7.6
2006,"Congressional District 42 (109th Congress), California",22360,687751,402737,1929,36.8,109360.0,36632.0,87327.0,4.7
2006,"Congressional District 43 (109th Congress), California",84913,729476,424699,1170,27.8,33421.0,21006.0,116981.0,7.0
2006,"Congressional District 44 (109th Congress), California",40672,827843,508675,1527,30.7,74446.0,26308.0,135983.0,7.5
2006,"Congressional District 45 (109th Congress), California",55326,826129,517893,1206,33.7,68516.0,23408.0,152335.0,7.2
2006,"Congressional District 46 (109th Congress), California",10775,644395,445693,1481,39.9,115176.0,35199.0,85972.0,4.4
2006,"Congressional District 47 (109th Congress), California",7710,649040,371492,1249,28.8,36583.0,19990.0,88864.0,6.0
2006,"Congressional District 48 (109th Congress), California",12531,689639,487848,1877,37.6,146755.0,41032.0,65968.0,3.7
2006,"Congressional District 49 (109th Congress), California",35352,749162,507200,1484,31.7,65395.0,25562.0,122008.0,5.2
2006,"Congressional District 50 (109th Congress), California",11514,710358,534942,1689,36.9,124118.0,33588.0,77906.0,4.5
2006,"Congressional District 51 (109th Congress), California",50791,683959,414717,1188,31.1,46214.0,22104.0,98275.0,6.6
2006,"Congressional District 52 (109th Congress), California",24749,650592,514838,1498,37.2,88885.0,32480.0,96594.0,4.5
2006,"Congressional District 53 (109th Congress), California",48938,643440,441404,1167,30.5,91373.0,25715.0,80181.0,5.5
2006,"Congressional District 1 (109th Congress), Colorado",62547,624028,431529,926,34.9,89338.0,25800.0,99488.0,6.6
2006,"Congressional District 2 (109th Congress), Colorado",6257,681241,582928,1310,34.3,117122.0,31016.0,96094.0,4.7
2006,"Congressional District 3 (109th Congress), Colorado",5173,676395,595586,803,37.5,73983.0,21725.0,137605.0,5.2
2006,"Congressional District 4 (109th Congress), Colorado",4966,688513,604678,961,33.8,86654.0,24219.0,118966.0,5.3
2006,"Congressional District 5 (109th Congress), Colorado",36810,679861,555511,1026,35.2,91482.0,25802.0,108357.0,6.2
2006,"Congressional District 6 (109th Congress), Colorado",19319,744831,660335,1582,37.1,151696.0,39729.0,87780.0,4.2
2006,"Congressional District 7 (109th Congress), Colorado",42830,658508,504404,1029,35.1,75461.0,26726.0,117314.0,6.7
2006,"Congressional District 1 (109th Congress), Connecticut",96073,696667,508097,1081,39.1,82707.0,29157.0,143964.0,7.0
2006,"Congressional District 2 (109th Congress), Connecticut",27496,706619,620937,1199,39.1,85725.0,30493.0,148097.0,5.7
2006,"Congressional District 3 (109th Congress), Connecticut",91647,709165,548930,1193,38.2,79640.0,29019.0,157011.0,6.6
2006,"Congressional District 4 (109th Congress), Connecticut",77606,694419,532466,1671,39.0,114898.0,32804.0,107946.0,5.3
2006,"Congressional District 5 (109th Congress), Connecticut",39889,697939,589914,1197,40.0,93231.0,30572.0,147744.0,6.1
2006,"Congressional District (at Large) (109th Congress), Delaware",176845,853476,615638,919,37.5,93121.0,27119.0,192075.0,5.9
2006,"Delegate District (at Large) (109th Congress), District of Columbia",322105,581530,200395,1088,35.0,80945.0,30928.0,81738.0,8.5
2006,"Congressional District 1 (109th Congress), Florida",97855,681180,537231,778,38.2,70762.0,22520.0,136883.0,5.6
2006,"Congressional District 2 (109th Congress), Florida",148083,686565,506572,760,37.1,67926.0,21359.0,139577.0,6.1
2006,"Congressional District 3 (109th Congress), Florida",352163,679832,267572,740,33.4,46663.0,19262.0,159918.0,8.2
2006,"Congressional District 4 (109th Congress), Florida",101753,705650,551414,898,37.4,84332.0,27119.0,146247.0,5.0
2006,"Congressional District 5 (109th Congress), Florida",44372,852578,751713,757,43.1,76594.0,21932.0,225961.0,6.5
2006,"Congressional District 6 (109th Congress), Florida",102605,751577,598333,822,38.4,64511.0,22554.0,170205.0,6.4
2006,"Congressional District 7 (109th Congress), Florida",70331,777881,652746,977,41.1,97754.0,25010.0,169746.0,4.1
2006,"Congressional District 8 (109th Congress), Florida",70158,746635,570426,1022,37.0,104907.0,25480.0,146453.0,5.4
2006,"Congressional District 9 (109th Congress), Florida",42592,772245,675804,964,41.8,99705.0,25410.0,163776.0,5.1
2006,"Congressional District 10 (109th Congress), Florida",32331,621223,547770,872,45.1,79674.0,24334.0,143958.0,4.5
2006,"Congressional District 11 (109th Congress), Florida",187717,661212,412868,859,35.2,70033.0,21374.0,141469.0,6.8
2006,"Congressional District 12 (109th Congress), Florida",111395,771683,575687,837,37.1,67613.0,23501.0,183464.0,5.6
2006,"Congressional District 13 (109th Congress), Florida",36404,736109,658253,939,46.5,87400.0,24955.0,182094.0,4.2
2006,"Congressional District 14 (109th Congress), Florida",47288,813476,706089,1065,44.8,102140.0,27373.0,182936.0,3.8
2006,"Congressional District 15 (109th Congress), Florida",69365,764771,623412,963,41.7,87492.0,23541.0,174041.0,5.4
2006,"Congressional District 16 (109th Congress), Florida",63558,763215,648417,949,42.9,80427.0,23698.0,178706.0,5.0
2006,"Congressional District 17 (109th Congress), Florida",388717,676629,220938,950,33.2,46889.0,19171.0,146553.0,8.8
2006,"Congressional District 18 (109th Congress), Florida",40757,638719,551059,1048,42.1,87257.0,20352.0,115184.0,4.0
2006,"Congressional District 19 (109th Congress), Florida",69452,727647,577181,1076,45.7,100213.0,25580.0,165156.0,5.3
2006,"Congressional District 20 (109th Congress), Florida",71581,672781,535156,1282,41.0,101461.0,29278.0,126627.0,4.3
2006,"Congressional District 21 (109th Congress), Florida",54292,665532,547395,1168,38.7,80717.0,20577.0,119893.0,5.0
2006,"Congressional District 22 (109th Congress), Florida",40837,692476,602697,1369,43.8,116268.0,31445.0,128872.0,4.1
2006,"Congressional District 23 (109th Congress), Florida",387648,692406,232199,988,32.9,46913.0,20109.0,146755.0,8.0
2006,"Congressional District 24 (109th Congress), Florida",53888,740876,611817,1036,38.9,92813.0,26049.0,151498.0,4.5
2006,"Congressional District 25 (109th Congress), Florida",93407,796991,604499,1353,34.9,84182.0,22775.0,134693.0,5.3
2006,"Congressional District 1 (109th Congress), Georgia",154960,681860,491730,651,34.7,52194.0,21823.0,146053.0,5.8
2006,"Congressional District 2 (109th Congress), Georgia",279247,646921,342801,567,33.2,37961.0,17175.0,137850.0,8.9
2006,"Congressional District 3 (109th Congress), Georgia",262159,640378,356820,568,35.3,36052.0,17722.0,154266.0,8.2
2006,"Congressional District 4 (109th Congress), Georgia",369455,683079,234529,1048,35.2,102950.0,26448.0,111963.0,9.0
2006,"Congressional District 5 (109th Congress), Georgia",361563,674043,253719,984,34.2,109539.0,25294.0,100043.0,8.6
2006,"Congressional District 6 (109th Congress), Georgia",82940,770953,598588,1434,37.9,178932.0,40109.0,85060.0,4.3
2006,"Congressional District 7 (109th Congress), Georgia",118304,846870,629386,1273,34.5,130808.0,31840.0,142378.0,5.3
2006,"Congressional District 8 (109th Congress), Georgia",145531,787033,602250,1015,35.3,83451.0,27347.0,170933.0,6.2
2006,"Congressional District 9 (109th Congress), Georgia",98492,735337,604175,727,36.8,61423.0,21747.0,168235.0,6.0
2006,"Congressional District 10 (109th Congress), Georgia",42448,794734,690274,815,35.0,67725.0,23877.0,163305.0,5.1
2006,"Congressional District 11 (109th Congress), Georgia",213678,679933,396119,782,34.0,51750.0,21522.0,148517.0,6.9
2006,"Congressional District 12 (109th Congress), Georgia",280270,663100,353164,715,30.9,50656.0,18837.0,131286.0,7.2
